Site LOC ID,Name,Description,Municipality,County,DEC Region,Basin,Latitude,Longitude,HUC 8,Last Year Sampled,Georeference
04-UGNS-139.6,Genesee River; Upper,weidrick rd. bridge.,Wellsville,Allegany,9,4,42.10059,-77.93893,4130002,2022,POINT (-77.93893 42.10059)
08-INDY-6.7,Independence River,donnattsburg rd. bridge.,Watson,Lewis,6,8,43.7472,-75.3344,4150101,2022,POINT (-75.3344 43.7472)
15-MUDD-0.6,Muddy Creek,off west washington ave.,Orangetown,Rockland,3,15,41.06,-74.0235,2030103,2012,POINT (-74.0235 41.06)
11-WLFC-0.9,Wolf Creek,rte. 1/stony creek rd. bridge.,Hadley,Saratoga,5,11,43.357,-73.878,2020001,2021,POINT (-73.878 43.357)
07-CNCR-0.4,Canada Creek,tannery rd. bridge; 5 m above.,Rome,Oneida,6,7,43.22944,-75.53972,4140202,2016,POINT (-75.53972 43.22944)
01-CAZE_E-7.1,East Branch Cazenovia Creek,200 m off olean rd.,Aurora,Erie,9,1,42.7272,-78.591,4120103,2015,POINT (-78.591 42.7272)
07-MUDG-0.5,Mud Creek,30 m above rt. 96 bridge.,Victor,Ontario,8,7,42.97425,-77.3823,4140201,2006,POINT (-77.3823 42.97425)
05-COWS-0.6,Cowanesque River,30 m above rte 15.,Lindley,Steuben,8,5,42.00161,-77.12738,2050104,2008,POINT (-77.12738 42.00161)
01-GOON-1.2,Gooseneck Creek,50 m above rte 240.,Ashford,Cattaraugus,9,1,42.44188,-78.61572,4120102,2005,POINT (-78.61572 42.44188)
10-LCHU-2.0,La Chute River,200 m above elk dr. bridge.,Ticonderoga,Essex,5,10,43.84945,-73.4211,4150408,2018,POINT (-73.4211 43.84945)
03-SSAN-14.1,South Sandy Creek,50 m below rte 189 bridge.,Lorraine,Jefferson,6,3,43.77639,-76.01805,4140102,2020,POINT (-76.01805 43.77639)
06-SANG-2.9,Sangerfield River,50 m below earlville rd. bridge.,Hamilton,Madison,7,6,42.75195,-75.5325,2050102,2009,POINT (-75.5325 42.75195)
07-KEUK-0.1,Keuka Outlet,0.5 m u.s. of mouth.,Torrey,Yates,8,7,42.682,-76.949,4140201,2019,POINT (-76.949 42.682)
14-CATL-0.1,Cattail Brook,river street bridge 30 m above.,Rockland,Sullivan,3,14,41.9003,-74.8318,2040102,2014,POINT (-74.8318 41.9003)
05-MEAD-2.1,Meads Creek,300 m upstream of meads creek rd. bridge.,Campbell,Steuben,8,5,42.19293,-77.141882,2050105,2022,POINT (-77.141882 42.19293)
13-BLKH-1.2,Black Creek,100 m above rte 9w bridge.,Esopus,Ulster,3,13,41.81805,-73.96444,2020008,2022,POINT (-73.96444 41.81805)
02-CHAD-5.6,Chadakoin River,5 m below main street bridge.,Jamestown,Chautauqua,9,2,42.09363,-79.24155,5010002,2011,POINT (-79.24155 42.09363)
17-CRAB-1.2,Crab Meadow Creek,waterside rd.,Huntington,Suffolk,1,17,40.918755,-73.332927,2030201,2013,POINT (-73.332927 40.918755)
04-KNIT-6.3,Knight Creek,20 m above rt. 417 bridge.,Scio,Allegany,9,4,42.1031,-78.03491,4130002,2009,POINT (-78.03491 42.1031)
07-SUKE-0.6,Sucker Brook,5 meters upstream of clark street bridge.,Canandaigua,Ontario,8,7,42.8816,-77.28149,4140201,2011,POINT (-77.28149 42.8816)
06-USSQ-109.2,Upper Susquehanna River,at dec fishing access.,Unadilla,Otsego,4,6,42.32056,-75.32584,2050101,2003,POINT (-75.32584 42.32056)
17-MIAN-5.3,Mianus River,below june rd. bridge.,Stamford (CT),Stamford (CT),3,17,41.10444,-73.58667,1100006,1991,POINT (-73.58667 41.10444)
04-VCAM_S-1.2,South Branch Van Campen Creek,rte 275 bridge. 50 m above.,Friendship,Allegany,9,4,42.18817,-78.14532,4130002,2004,POINT (-78.14532 42.18817)
12-SANS-0.3,Sandsea Kill,20 m upstream of rte 5s bridge.,Rotterdam,Schenectady,4,12,42.88889,-74.07778,2020004,2005,POINT (-74.07778 42.88889)
02-WANG_L-2.1,Little Conewango Creek,borden rd. ext; 30 m below.,Conewango,Cattaraugus,9,2,42.17361,-78.98639,5010002,2006,POINT (-78.98639 42.17361)
06-BTNT-20.6,Butternut Creek,20 m above cr 12.,New Lisbon,Otsego,4,6,42.58944,-75.19305,2050101,2008,POINT (-75.19305 42.58944)
11-JESS-2.0,Jessup River,30 m above rte 30 bridge.,Lake Pleasant,Hamilton,5,11,43.5825,-74.40667,2020001,2021,POINT (-74.40667 43.5825)
12-GOSC-1.8,Gooseberry Creek,75 m below inactive discharge pipe at stp.,Hunter,Greene,4,12,42.18555,-74.15334,2020005,1989,POINT (-74.15334 42.18555)
02-FREN-3.4,French Creek,walk 350 meters east off marvin rd. when you come to coordinates 42.037 / -79.726.,French Creek,Chautauqua,9,2,42.037,-79.722,5010004,2011,POINT (-79.722 42.037)
13-MILL-5.5,Mill Creek,rte. 4. 200 m above bridge. access mothers bar.,East Greenbush,Rensselaer,4,13,42.60361,-73.70566,2020006,2008,POINT (-73.70566 42.60361)
13-EIGT-0.6,Eightmile Creek,cr 403.,Rensselaerville,Albany,4,13,42.4355,-74.12272,2020006,2017,POINT (-74.12272 42.4355)
14-BUCB-0.6,Buck Brook,rte 95 bridge.,Callicoon,Sullivan,3,14,41.81083,-74.99028,2040101,1999,POINT (-74.99028 41.81083)
13-SAW-10.8,Saw Mill River,20 m below rt. 119 bridge.,Greenburgh,Westchester,3,13,41.055,-73.82111,2030101,2022,POINT (-73.82111 41.055)
08-MOOS_S-0.1,South Branch Moose River,100 m above bisby rd. bridge-adirondack league club.,Webb,Herkimer,6,8,43.6425,-74.95472,4150101,2022,POINT (-74.95472 43.6425)
01-NIAG_EC-24.9,Niagara River,tonawanda channel. east side.,North Tonawanda,Niagara,9,1,43.02966,-78.88184,4120104,1982,POINT (-78.88184 43.02966)
07-KASH-0.3,Kashong Creek,at west lake rd.,Geneva,Ontario,8,7,42.764824,-76.97656,4140201,2019,POINT (-76.97656 42.764824)
13-TONE-0.4,Tonetta Brook,county rte. 56. 100 m below rte. 6.,Southeast,Putnam,3,13,41.39611,-73.61972,2030101,2003,POINT (-73.61972 41.39611)
12-MOHK-44.5,Mohawk River,at schoharie crossing. upstream of lock 12.,Florida,Montgomery,4,12,42.94367,-74.29002,2020004,2019,POINT (-74.29002 42.94367)
10-WSBR-0.5,West Brook,gage rd.; 5 m above culvert.,Lake George,Warren,5,10,43.4163,-73.717,4150408,2004,POINT (-73.717 43.4163)
14-WDEL-56.4,West Branch Delaware River,above arbor hill rd. (sherwood rd.) bridge.,Delhi,Delaware,4,14,42.25972,-74.9286,2040101,2015,POINT (-74.9286 42.25972)
11-STUR-0.6,Sturdevant Creek,west mechanic st. 50 m down.,Corinth,Saratoga,5,11,43.24389,-73.83417,2020003,2021,POINT (-73.83417 43.24389)
01-TONA-70.5,Tonawanda Creek,5 m below dorman rd. bridge.,Batavia,Genesee,8,1,42.96642,-78.19159,4120104,1984,POINT (-78.19159 42.96642)
14-EDEL-1.2,East Branch Delaware River,below route 97 bridge. drbc side-by-side sampling in 2014.,Hancock,Delaware,4,14,41.95278,-75.27528,2040102,2019,POINT (-75.27528 41.95278)
09-RAQU-105.0,Raquette River,just off rt 30.,Harrietstown,Franklin,5,9,44.236904,-74.40019,4150305,2019,POINT (-74.40019 44.236904)
09-CHRC-2.6,Unnamed Trbiutary To Church Brook,irish settlement rd.,Canton,St. Lawrence,6,9,44.599261,-75.211493,4150304,2014,POINT (-75.211493 44.599261)
07-OSWE-5.2,Oswego River,buoy 124.,Minetto,Oswego,7,7,43.39806,-76.47166,4140203,2021,POINT (-76.47166 43.39806)
13-WPALG-3.4,Palmaghatt Kill,aumick rd.,Gardiner,Ulster,3,13,41.676,-74.2626,2020007,2017,POINT (-74.2626 41.676)
13-STON-5.1,Stony Kill,below columbia corp. discharge; above sta. 2.,Chatham,Columbia,4,13,42.37695,-73.57778,2020006,1989,POINT (-73.57778 42.37695)
17-CARM-6.2,Carmans River,dec fishing access. north of montauk highway.,Brookhaven,Suffolk,1,17,40.80083,-72.88417,2030202,2008,POINT (-72.88417 40.80083)
02-CLER-1.3,Clear Creek,cowens corner rd. bridge.,Conewango,Cattaraugus,9,2,42.22087,-79.05345,5010002,2016,POINT (-79.05345 42.22087)
07-WEST-10.3,West River,10 m below valley view rd. bridge.,Middlesex,Yates,8,7,42.73895,-77.25699,4140201,2006,POINT (-77.25699 42.73895)
03-CATF-1.3,Catfish Creek,co rte 6 bridge; 5 m above.,New Haven,Oswego,7,3,43.49889,-76.31667,4140102,2012,POINT (-76.31667 43.49889)
10-CHMP-6.3,Champlain Canal,ryder rd. 200 m above bridge.,Whitehall,Washington,5,10,43.48231,-73.42531,4150401,2009,POINT (-73.42531 43.48231)
08-BARE_T5-0.5,Unnamed Tributary To Bear Creek,50 m upstream of bear creek rd. bridge.,Forestport,Oneida,6,8,43.524287,-75.135703,4150101,2022,POINT (-75.135703 43.524287)
07-CRAN-7.6,Crane Brook,50 m above cr 108 bridge. immediately below golf cart bridge. at crane bk golf course.,Throop,Cayuga,7,7,42.96333,-76.64305,4140201,2016,POINT (-76.64305 42.96333)
01-CLAR-8.9,Clear Creek,10 m below rte 62 bridge.,Collins,Erie,9,1,42.49902,-78.92867,4120102,2005,POINT (-78.92867 42.49902)
12-MILM-0.9,Mill Creek,above rte 242 bridge.,Russia,Herkimer,6,12,43.24944,-75.11472,2020004,2000,POINT (-75.11472 43.24944)
02-FIVE_T12-1.3,Unnamed trib to Five Mile Creek,Off Cherry Valley road approximately 100 ft.,Humphrey,Cattaraugus,9,2,42.174063,-78.480171,5010001,2021,POINT (-78.480171 42.174063)
06-SUSQ-26.0,Lower Susquehanna River,30 m below apalachin effluent pipe; in plume.,Owego,Tioga,7,6,42.06111,-76.14,2050103,1997,POINT (-76.14 42.06111)
08-SUGR_T10-0.8,Unnamed Trib to Sugar River,Crofoot Hill rd,West Turin,Lewis,6,8,43.570897,-75.437243,4150101,2022,POINT (-75.437243 43.570897)
12-WHEE-3.5,Wheelers Creek,at rte 26 bridge on border of westmoreland.,Rome,Oneida,6,12,43.17194,-75.4836,2020004,2005,POINT (-75.4836 43.17194)
13-QUAC_T4-1.2,Unnamed Tributary To Quacken Kill,5 m above rte 278 bridge.,Brunswick,Rensselaer,4,13,42.75368,-73.56839,2020006,1997,POINT (-73.56839 42.75368)
13-PEAC-0.9,Peach Lake Outlet,1 m above cobb rd. bridge.,Southeast,Putnam,3,13,41.37944,-73.58721,2030101,2020,POINT (-73.58721 41.37944)
01-DURK-2.7,Durkee Creek,50 m off county line rd.,Alden,Erie,9,1,42.887001,-78.4646,4120104,2015,POINT (-78.4646 42.887001)
08-DOUG-0.8,Douglass Creek,below rte 12 bridge.,Turin,Lewis,6,8,43.6797,-75.3819,4150101,2002,POINT (-75.3819 43.6797)
07-WFSHO_E-33.3,East Branch Fish Creek,100 m downstream from michigan mills rd. in eb fish creek state forest.,West Turin,Lewis,6,7,43.603505,-75.615533,4140202,2016,POINT (-75.615533 43.603505)
12-CANE-18.1,East Canada Creek,40 m above sr 29a bridge.,Salisbury,Herkimer,5,12,43.18,-74.69639,2020004,2015,POINT (-74.69639 43.18)
13-BRCH_T4-0.9,Unnamed Tributary To Birch Creek,130 m above bonnie view ave.,Shandaken,Ulster,3,13,42.1385,-74.49209,2020006,2019,POINT (-74.49209 42.1385)
17-LRONK-0.0,Lake Ronkonkoma,n/a,Islip,Suffolk,1,17,40.827215,-73.121796,2030202,2009,POINT (-73.121796 40.827215)
10-LSAB_T6-0.1,Unnamed Tributary To Little Ausable River,river rd.,Peru,Clinton,5,10,44.57322,-73.55127,4150408,2008,POINT (-73.55127 44.57322)
14-BAGL-0.7,Bagley Brook,bagley brook rd. bridge.,Hamden,Delaware,4,14,42.20167,-74.96917,2040101,1999,POINT (-74.96917 42.20167)
11-ADKS11_2010-0.3,Unnamed Tributary To Avalanche Lake,20 m upstream from avalanche lake.,Keene,Essex,5,11,44.13723,-73.96066,2020001,2011,POINT (-73.96066 44.13723)
06-BEAB-0.3,Bear Brook,10 m above cr 32 bridge.,Oxford,Chenango,7,6,42.38833,-75.62443,2050102,2003,POINT (-75.62443 42.38833)
02-ALGY-44.5,Allegheny River,above haskell creek; e. river drive.,Olean,Cattaraugus,9,2,42.06582,-78.39345,5010001,2016,POINT (-78.39345 42.06582)
06-MASV_E-1.4,East Masonville Creek,downstream of rt. 206.,Masonville,Delaware,4,6,42.24136,-75.34662,2050101,2008,POINT (-75.34662 42.24136)
14-FALB-0.1,Fall Brook,co. rte 47 bridge; 20 yds upstream.,Denning,Ulster,3,14,41.95528,-74.56834,2040104,2011,POINT (-74.56834 41.95528)
17-BYRM-1.3,Byram River,20 m below rte. 22 bridge. on west side of 	i-684.,North Castle,Westchester,3,17,41.12389,-73.70472,1100006,2018,POINT (-73.70472 41.12389)
13-COEY-11.7,Coeymans Creek,above co. rt. 55 bridge.,Bethlehem,Albany,4,13,42.58083,-73.87083,2020006,1984,POINT (-73.87083 42.58083)
14-LBEV-0.4,Benton Brook,"10 m above benton hollow rd. bridge
















































































little beaver kill tributary.",Liberty,Sullivan,3,14,41.85556,-74.78361,2040102,1994,POINT (-74.78361 41.85556)
13-CLAV-0.5,Claverack Creek,100 m above co. rt. 25 bridge.,Stockport,Columbia,4,13,42.31139,-73.74306,2020006,2017,POINT (-73.74306 42.31139)
08-BLCK_T79-2.0,Unnamed Tributary To Black River,"payne rd crossing, unnamed trib to black river",West Turin,Lewis,6,8,43.619578,-75.390309,4150101,2022,POINT (-75.390309 43.619578)
01-CATT-36.9,Cattaraugus Creek,100 m below scoby hill rd. bridge; 300 m below dam.,Ashford,Cattaraugus,9,1,42.48417,-78.70084,4120102,2020,POINT (-78.70084 42.48417)
12-BLRS-0.2,Unnamed Tributary To Black Creek Reservoir,1.0 mile east off cr 47.,Norway,Herkimer,6,12,43.241043,-74.906346,2020004,2020,POINT (-74.906346 43.241043)
13-WAPP-10.7,Wappinger Creek,100 m below rte. 55 bridge.,La Grange,Dutchess,3,13,41.68361,-73.86666,2020008,2017,POINT (-73.86666 41.68361)
10-SABL_W-12.9,West Branch Ausable River,above rte. 86 bridge at the flume fall.,Wilmington,Essex,5,10,44.365,-73.84389,4150404,2018,POINT (-73.84389 44.365)
09-BLAP-17.4,Black Creek,cr 29 belile rd.,Wilna,Jefferson,6,9,44.0512,-75.55547,4150303,2009,POINT (-75.55547 44.0512)
09-REGI-3.3,St. Regis River,upstream of hogansburg dam. at upstream boundary of impoundment/dam influence.,Bombay,Franklin,5,9,44.966484,-74.66708,4150306,2020,POINT (-74.66708 44.966484)
09-STLW-8.3,St. Lawrence River,below moses saunders dam.,Massena,St. Lawrence,6,9,45.00472,-74.79527,4150310,2019,POINT (-74.79527 45.00472)
01-TONA-19.6,Tonawanda Creek,300 m below rapids rd. bridge.,Lockport,Niagara,9,1,43.093333,-78.636389,4120104,2020,POINT (-78.636389 43.093333)
07-CRAN-1.8,Crane Brook,20 meters above east loop rd. bridge.,Montezuma,Cayuga,7,7,43.02111,-76.68833,4140201,2016,POINT (-76.68833 43.02111)
12-INDK_T1-0.1,Unnamed Tributary To Indian Kill,in the willow brook development off hetcheltown rd.,Glenville,Schenectady,4,12,42.87722,-73.92,2020004,2007,POINT (-73.92 42.87722)
15-STOB-0.4,Stony Brook,20 m above seven lakes rd. bridge.,Ramapo,Rockland,3,15,41.16472,-74.18361,2030103,2012,POINT (-74.18361 41.16472)
09-TRSL-1.3,Trout Creek,40 m above bridge. murray rd. at guard rail.,Brasher,St. Lawrence,6,9,44.83583,-74.7175,4150306,2004,POINT (-74.7175 44.83583)
06-WACT_T3-0.2,Unnamed TributaryTo Canasawacta Creek,pull off into ashcraft rd. off of ny-23/stream between ashcraft and private house.,Plymouth,Chenango,7,6,42.587594,-75.57258,2050102,2019,POINT (-75.57258 42.587594)
03-FYSH-0.1,Fish Creek,15 m above culvert at creek rd.bel. landfill.trib.,Adams,Jefferson,6,3,43.83389,-75.9761,4140102,2008,POINT (-75.9761 43.83389)
05-CAMP- 1.5,Campbell Creek,"behind 7376 County Route 14, owners address",Bath,Steuben,8,5,42.358267,-77.389216,2050105,2022,POINT (-77.389216 42.358267)
13-ESOP-7.5,Lower Esopus Creek,10 m below leggs mill rd. bridge.,Ulster,Ulster,3,13,41.995,-73.99778,2020006,1997,POINT (-73.99778 41.995)
11-HOOS-12.6,Hoosic River,bridge st. bridge.,Schaghticoke,Rensselaer,4,11,42.91794,-73.51395,2020003,2012,POINT (-73.51395 42.91794)
08-PHIL-3.9,Philomel Creek,10 m below rt 12 bridge.,Pamelia,Jefferson,6,8,44.00945,-75.92472,4150101,2007,POINT (-75.92472 44.00945)
03-IRON-34.5,Irondequiot Creek,430 ft nw off cheese factory rd.,Mendon,Monroe,8,3,42.976506,-77.529882,4140101,2015,POINT (-77.529882 42.976506)
01-RANS-1.4,Ransom Creek,below miles rd. bridge.,Clarence,Erie,9,1,43.027,-78.68963,4120104,2015,POINT (-78.68963 43.027)
07-CASC-0.8,Cascadilla Creek,lake rd. and madison st; 50 m above.,Ithaca,Tompkins,7,7,42.44583,-76.50026,4140201,2011,POINT (-76.50026 42.44583)
13-NORM-3.7,Normans Kill,200 m above delaware ave. (rt. 443) bridge.,Bethlehem,Albany,4,13,42.63445,-73.8,2020006,2022,POINT (-73.8 42.63445)
13-LOCK-0.2,Locke Ledge Croton Trib,20 m above rte 118 bridge.,Yorktown,Westchester,3,13,41.23583,-73.78833,2030101,2000,POINT (-73.78833 41.23583)
06-OULE_T4-0.3,Unnamed Tributary To Ouleout Creek,downstream of walley rd.,Franklin,Delaware,4,6,42.330617,-75.184331,2050101,2013,POINT (-75.184331 42.330617)
04-HONY-32.0,Honeoye Creek,sr 20a bridge.,Richmond,Ontario,8,4,42.790212,-77.51477,4130003,2014,POINT (-77.51477 42.790212)
07-POTT-0.1,Potter Creek,At Peck drive road crossing above confluence w/Scriba creek.,Constantia,Oswego,7,7,43.314573,-76.026728,4140202,2021,POINT (-76.026728 43.314573)
12-ALPL_T11-2.1,Unnamed Tributary To Alplaus Kill,20 m above eastern avenue.,Charlton,Saratoga,5,12,42.951982,-73.985737,2020004,2020,POINT (-73.985737 42.951982)
17-NISS-6.0,Nissequogue River,rt. 25. caleb state park. above usgs gage.,Smithtown,Suffolk,1,17,40.84889,-73.225,2030201,2018,POINT (-73.225 40.84889)
14-BEBR-8.2,Beaver Brook,5 m below blind brook rd.,Tusten,Sullivan,3,14,41.57186,-74.91086,2040104,2019,POINT (-74.91086 41.57186)
10-FLOS-0.1,Floodwood Passage,drive on floodwood rd. to trail entrance at coordinates 44.341818 / -74.387830.,Santa Clara,Franklin,5,10,44.328052,-74.38799,4150406,2013,POINT (-74.38799 44.328052)
07-SKAT_T2-0.1,Unnamed Tributary To Skaneateles Lake,east lake rd. at public fishing access.,Skaneateles,Onondaga,7,7,42.924389,-76.40494,4140201,2019,POINT (-76.40494 42.924389)
09-COLE-0.5,Coles Creek,Off rt 37 20 to 30 m. Same depth as upstream site,Louisville,St Lawrence,6,9,44.889883,-75.115313,4150310,2021,POINT (-75.115313 44.889883)
13-BASC-16.5,Basic Creek,10 m below culvert at richardson farm.,Westerlo,Albany,4,13,42.54306,-74.04722,2020006,1995,POINT (-74.04722 42.54306)
04-MILD-0.6,Mill Creek,red jacket/knox rd.; 100 yds below bridge.,North Dansville,Livingston,8,4,42.55439,-77.69561,4130002,2004,POINT (-77.69561 42.55439)
15-HACK_WT5-0.1,Unnamed Tributary West Branch Hackensack River,off woodhaven dr.,Clarkstown,Rockland,3,15,41.18189,-73.99913,2030103,2012,POINT (-73.99913 41.18189)
14-DELA-11.6,Delaware River,opposite whitewater willies motel.,Lumberland,Sullivan,3,14,41.444,-74.8113,2040104,1999,POINT (-74.8113 41.444)
09-JENN-0.4,Jenny Creek,state highway 3 bridge.,Pitcairn,St. Lawrence,6,9,44.181529,-75.280853,4150302,2019,POINT (-75.280853 44.181529)
12-POEN-1.6,Poentic Kill,10 m below regulatory gates.,Rotterdam,Schenectady,4,12,42.80889,-73.98444,2020004,2008,POINT (-73.98444 42.80889)
14-PINS-1.7,Pines Brook,pines brook rd. bridge.,Walton,Delaware,4,14,42.175525,-75.17101,2040101,2019,POINT (-75.17101 42.175525)
08-AWAT-2.6,Atwater Creek,at graves rd. bridge.,Martinsburg,Lewis,6,8,43.71033,-75.51623,4150101,2017,POINT (-75.51623 43.71033)
01-SCAJ-11.1,Scajaquada Creek,ledyard st.,Cheektowaga,Erie,9,1,42.91417,-78.70944,4120104,2005,POINT (-78.70944 42.91417)
07-BUTM-0.1,Buttermilk Creek,"rt. 13/34 bridge
















































































100 m downstream.",Ithaca,Tompkins,7,7,42.41778,-76.525,4140201,2006,POINT (-76.525 42.41778)
14-LEBA-0.6,Lebanon Lake Brook,off chapin rd.,Lumberland,Sullivan,3,14,41.566455,-74.795962,2040104,2019,POINT (-74.795962 41.566455)
09-GULF-3.7,Gulf Creek,old canton rd. bridge.,De Kalb,St. Lawrence,6,9,44.53389,-75.30749,4150302,2014,POINT (-75.30749 44.53389)
03-SKIN_T4-2.6,Unnamed Tributary To Skinner Creek,van wormer rd.,Ellisburg,Jefferson,6,3,43.6987,-76.02888,4140102,2020,POINT (-76.02888 43.6987)
13-KLEI-0.1,Kleine Kill,at springtown rd.,New Paltz,Ulster,3,13,41.76936,-74.09331,2020007,2017,POINT (-74.09331 41.76936)
17-CARM-12.9,Carmans River,below east bartlett rd.,Brookhaven,Suffolk,1,17,40.86306,-72.94334,2030202,2008,POINT (-72.94334 40.86306)
06-SUSQ-6.9,Lower Susquehanna River,"300 m below rt. 282 bridge
















































































access across river at bridge st.",Nichols,Tioga,7,6,42.02917,-76.40056,2050103,2018,POINT (-76.40056 42.02917)
12-MOHK-101.0,Mohawk River,350 meters below csos at railrd. interceptor (076). grace creek interceptor (077). and oneida co. wpcp (001).,Utica,Oneida,6,12,43.10185,-75.1903,2020004,2015,POINT (-75.1903 43.10185)
03-BROK-4.7,Brockport Creek,0.2 mi us of Lawton Rd,Clarkson,Monroe,8,3,43.261086,-77.89592,4130001,2020,POINT (-77.89592 43.261086)
13-TINW-1.6,Tin Brook,20 m above rte 52 bridge.,Montgomery,Orange,3,13,41.56111,-74.18333,2020007,2013,POINT (-74.18333 41.56111)
08-MILB-6.3,Mill Creek,200 m below murry hill rd. (culvert under rd.).,Boonville,Oneida,6,8,43.45694,-75.36777,4150101,1997,POINT (-75.36777 43.45694)
13-DAVE-1.6,David's Brook,off clinton rd.,Bedford,Westchester,3,13,41.20944,-73.66221,2030101,2002,POINT (-73.66221 41.20944)
12-ADKS11_233-0.3,Unnamed Tributary To Mad Tom Brook,north off sr 8.,Ohio,Herkimer,6,12,43.38652,-74.93326,2020004,2011,POINT (-74.93326 43.38652)
05-SMIR-0.2,Smith Run,20 m downstream of sr 415 (park on selleck rd).,Bath,Steuben,8,5,42.31545,-77.25614,2050105,2022,POINT (-77.25614 42.31545)
06-BTNT-1.3,Butternut Creek,150 below flat iron rd. bridge.,Butternuts,Otsego,4,6,42.41945,-75.36139,2050101,2004,POINT (-75.36139 42.41945)
12-COBL-16.8,Cobleskill Creek,30 m below mill st. bridge.,Richmondville,Schoharie,4,12,42.63833,-74.57361,2020005,1996,POINT (-74.57361 42.63833)
07-ONID_T3-1.4,Unnamed Tributary To Oneida River,kline rd./rte 12 bridge.,Schroeppel,Oswego,7,7,43.245144,-76.238237,4140202,2016,POINT (-76.238237 43.245144)
17-LNEC-0.8,Little Neck Run,wertheim national wildlife refuge to field and hike into stream.,Brookhaven,Suffolk,1,17,40.7824,-72.90484,2030202,2009,POINT (-72.90484 40.7824)
02-FORA_W-0.5,West Branch Fourmile Creek,walk 100 meters northwest off west branch rd. when you come to coordinates 42.058 / -78.5.,Allegany,Cattaraugus,9,2,42.059,-78.501,5010001,2011,POINT (-78.501 42.059)
10-SABL_W_T13-0.2,Unnamed Tributary To West Branch Ausable River,upstream of sr 86.reduce salt stream 2; us.,Wilmington,Essex,5,10,44.383231,-73.83041,4150404,2018,POINT (-73.83041 44.383231)
13-SDBG-9.0,Sandburg Creek,access via William Krieger Memorial park,Fallsburg,Sullivan,3,13,41.707465,-74.562379,2020007,2022,POINT (-74.562379 41.707465)
02-NINA-4.5,Ninemile Creek,off n 9 mile rd.,Allegany,Cattaraugus,9,2,42.144397,-78.55002,5010001,2016,POINT (-78.55002 42.144397)
10-ADKS11_206-0.2,Deer Falls Brook,short walk on trail.,Keene,Essex,5,10,44.1645,-73.78214,4150404,2011,POINT (-73.78214 44.1645)
14-LALDR-0.0,Alder Lake,Site Condition listed as reference.,Hardenburgh,Ulster,3,14,42.048401,-74.6763,2040102,2016,POINT (-74.6763 42.048401)
12-TAYL-1.3,Taylor Brook,at taylor brook rd. bridge.,Russia,Herkimer,6,12,43.27391,-75.09595,2020004,2010,POINT (-75.09595 43.27391)
11-LFRIE-0.0,Friends Lake,sampled in 2008 as part of lake biomonitoring pilot; composite.,Chester,Warren,5,11,43.63889,-73.84028,2020001,2008,POINT (-73.84028 43.63889)
06-WHAR-0.6,Wharton Creek,100 m below co.rt. 18 bridge.,Pittsfield,Otsego,4,6,42.62,-75.32121,2050101,2009,POINT (-75.32121 42.62)
13-MANY-1.3,Manayunk Kill,5 m below vanamburg and kaisertown rd. bridge.,Wallkill,Orange,3,13,41.49333,-74.29389,2020007,2017,POINT (-74.29389 41.49333)
10-SABL_E-7.6,East Branch Ausable River,access off howard heights lane; near confluence with otis brook.,Jay,Essex,5,10,44.366064,-73.73314,4150404,2018,POINT (-73.73314 44.366064)
09-TROU-13.7,Trout River,cr 23 above bridge.,Malone,Franklin,5,9,44.87157,-74.2329,4150308,2009,POINT (-74.2329 44.87157)
03-WCAN-25.6,Western Barge Canal,below guard gate.,Royalton,Niagara,9,3,43.21542,-78.46099,4130001,1981,POINT (-78.46099 43.21542)
06-PIPE-9.6,Pipe Creek,off straits corners rd. to only open water.,Candor,Tioga,7,6,42.15679,-76.37886,2050103,2008,POINT (-76.37886 42.15679)
01-THAT-0.9,Thatcher Brook,5 m above rte 62 bridge.,Persia,Cattaraugus,9,1,42.459,-78.93738,4120102,2005,POINT (-78.93738 42.459)
13-NORM-6.0,Normans Kill,opposite 14th hole; albany municipal golf course.,Albany,Albany,4,13,42.64139,-73.82638,2020006,1993,POINT (-73.82638 42.64139)
03-XORCH-0.1,Oak Orchard Creek,for eighteenmile creek benthos aoc assessment-control site.,Carlton,Orleans,9,3,43.36994,-78.19263,4130001,2014,POINT (-78.19263 43.36994)
13-MILL-9.3,Mill Creek,best rd; 10 m above bridge.,East Greenbush,Rensselaer,4,13,42.63028,-73.66363,2020006,2008,POINT (-73.66363 42.63028)
13-STOC-0.2,Stony Clove Creek,30 m above rte 214 bridge.,Shandaken,Ulster,3,13,42.08306,-74.31555,2020006,2012,POINT (-74.31555 42.08306)
14-HAFY_T8-0.8,Unnamed Tributary To Halfway Brook,upstream of town of highland salt shed (41.5398 / -74.8804) below tributary. request access to back of clark rd. property then continue 800 ft into woods.,Highland,Sullivan,3,14,41.53975,-74.88535,2040104,2019,POINT (-74.88535 41.53975)
01-YUGA-4.7,Cayuga Creek,rowley rd.,Cheektowaga,Erie,9,1,42.89211,-78.7317,4120103,2015,POINT (-78.7317 42.89211)
12-CAYA-2.9,Cayadutta Creek,50 m above rt. 334 bridge.,Mohawk,Montgomery,4,12,42.96722,-74.42083,2020004,1996,POINT (-74.42083 42.96722)
07-SCON-1.8,Sconondoa Creek,at second st. bridge.,Vernon,Oneida,6,7,43.08278,-75.62193,4140202,2007,POINT (-75.62193 43.08278)
