State FIPS,County FIPS,County Name,Industry,Industry Title,Year,Reporting Units,Average Employment,Average Annual Wages,Total Wages,Average Weekly Wages
36,003,Allegany,05,Transportation & Public Utilities,1982,40,362,21505,7777648,413.56
36,003,Allegany,06,Wholesale Trade,1982,50,311,13210,4103823,254.03
36,003,Allegany,07,Retail Trade,1982,219,1500,7690,11536717,147.88
36,003,Allegany,08,"Finance,  Insurance & Real Estate",1982,54,487,11799,5750004,226.90
36,003,Allegany,09,Services,1982,210,4737,12245,58008862,235.48
36,003,Allegany,10,Public Administration,1982,50,940,10915,10256277,209.90
36,003,Allegany,00,All Industries,1981,805,12666,13202,167206944,253.88
36,003,Allegany,01,"Agriculture, Mining & Unclassified",1981,40,195,14722,2876917,283.11
36,003,Allegany,03,Construction,1981,63,400,18091,7243762,347.90
36,003,Allegany,04,Manufacturing,1981,43,3527,18515,65295986,356.06
36,003,Allegany,05,Transportation & Public Utilities,1981,36,362,19909,7203908,382.87
36,003,Allegany,06,Wholesale Trade,1981,50,322,13051,4202478,250.98
36,003,Allegany,07,Retail Trade,1981,237,1538,7210,11085917,138.66
36,003,Allegany,08,"Finance,  Insurance & Real Estate",1981,52,552,10863,5997994,208.90
36,003,Allegany,09,Services,1981,217,4765,11285,53776721,217.02
36,003,Allegany,10,Public Administration,1981,67,1005,9481,9523261,182.32
36,003,Allegany,00,All Industries,1980,830,12585,12047,151616625,231.67
36,003,Allegany,01,"Agriculture, Mining & Unclassified",1980,44,214,12941,2767226,248.87
36,003,Allegany,03,Construction,1980,68,403,15636,6294909,300.70
36,003,Allegany,04,Manufacturing,1980,48,3361,16907,56825260,325.14
36,003,Allegany,05,Transportation & Public Utilities,1980,41,379,17889,6774062,344.02
36,003,Allegany,06,Wholesale Trade,1980,48,315,12840,4050003,246.93
36,003,Allegany,07,Retail Trade,1980,243,1598,6688,10684429,128.61
36,003,Allegany,08,"Finance,  Insurance & Real Estate",1980,52,543,9937,5395127,191.10
36,003,Allegany,09,Services,1980,225,4694,10569,49608212,203.25
36,003,Allegany,10,Public Administration,1980,61,1080,8537,9217397,164.18
36,003,Allegany,00,All Industries,1979,799,12957,10651,138002146,204.82
36,003,Allegany,01,"Agriculture, Mining & Unclassified",1979,42,205,11640,2382290,223.84
36,003,Allegany,03,Construction,1979,69,452,14625,6610443,281.25
36,003,Allegany,04,Manufacturing,1979,44,3448,15293,52726008,294.09
36,003,Allegany,05,Transportation & Public Utilities,1979,41,379,15988,6061950,307.45
36,003,Allegany,06,Wholesale Trade,1979,49,325,11667,3795592,224.36
36,003,Allegany,07,Retail Trade,1979,231,1469,6415,9420775,123.37
36,003,Allegany,08,"Finance,  Insurance & Real Estate",1979,46,509,10051,5111649,193.28
36,003,Allegany,09,Services,1979,216,5126,8628,44222323,165.92
36,003,Allegany,10,Public Administration,1979,61,1045,7338,7671116,141.11
36,003,Allegany,00,All Industries,1978,813,11869,10516,124820076,202.24
36,003,Allegany,01,"Agriculture, Mining & Unclassified",1978,46,214,10901,2337311,209.63
36,003,Allegany,03,Construction,1978,66,378,13382,5058288,257.34
36,003,Allegany,04,Manufacturing,1978,39,3337,14412,48085468,277.15
36,003,Allegany,05,Transportation & Public Utilities,1978,41,349,15552,5427561,299.07
36,003,Allegany,06,Wholesale Trade,1978,54,337,11002,3703205,211.58
36,003,Allegany,07,Retail Trade,1978,245,1423,6183,8798730,118.91
36,003,Allegany,08,"Finance,  Insurance & Real Estate",1978,45,476,9493,4514052,182.56
36,003,Allegany,09,Services,1978,218,4198,8980,37698393,172.69
36,003,Allegany,10,Public Administration,1978,59,1158,7943,9197068,152.76
36,003,Allegany,00,All Industries,1977,737,8986,10548,94779803,202.84
36,003,Allegany,01,"Agriculture, Mining & Unclassified",1977,47,261,10656,2783023,204.93
36,003,Allegany,03,Construction,1977,71,316,12189,3849836,234.41
36,003,Allegany,04,Manufacturing,1977,40,3286,13454,44213260,258.72
36,003,Allegany,05,Transportation & Public Utilities,1977,44,320,14836,4746173,285.30
36,003,Allegany,06,Wholesale Trade,1977,50,334,9868,3292594,189.77
36,003,Allegany,07,Retail Trade,1977,243,1425,5772,8226094,111.01
36,003,Allegany,08,"Finance,  Insurance & Real Estate",1977,42,467,8735,4080778,167.98
36,003,Allegany,09,Services,1977,194,2452,8950,21944922,172.11
36,003,Allegany,10,Public Administration,1977,6,125,13198,1643123,253.80
36,003,Allegany,00,All Industries,1976,726,9123,9886,90190485,190.12
36,003,Allegany,01,"Agriculture, Mining & Unclassified",1976,47,258,9796,2524937,188.39
36,003,Allegany,03,Construction,1976,68,314,12008,3766515,230.92
36,003,Allegany,04,Manufacturing,1976,39,3410,12262,41819325,235.81
36,003,Allegany,05,Transportation & Public Utilities,1976,40,344,13588,4674284,261.31
36,003,Allegany,06,Wholesale Trade,1976,48,311,9514,2957953,182.95
36,003,Allegany,07,Retail Trade,1976,246,1451,5396,7827452,103.76
36,003,Allegany,08,"Finance,  Insurance & Real Estate",1976,44,446,8310,3702998,159.82
36,003,Allegany,09,Services,1976,188,2467,8664,21369334,166.61
36,003,Allegany,10,Public Administration,1976,6,123,12574,1547687,241.81
36,003,Allegany,00,All Industries,1975,755,9062,9239,83730877,177.68
36,003,Allegany,01,"Agriculture, Mining & Unclassified",1975,57,268,9880,2652035,190.01
36,003,Allegany,03,Construction,1975,73,284,11279,3207829,216.90
36,003,Allegany,04,Manufacturing,1975,39,3450,11303,38992234,217.36
36,003,Allegany,05,Transportation & Public Utilities,1975,40,249,12582,3130837,241.96
36,003,Allegany,06,Wholesale Trade,1975,48,311,9132,2837121,175.62
36,003,Allegany,07,Retail Trade,1975,257,1403,5062,7099038,97.34
36,003,Allegany,08,"Finance,  Insurance & Real Estate",1975,43,444,7956,3530963,152.99
36,003,Allegany,09,Services,1975,190,2525,8200,20701936,157.70
36,003,Allegany,10,Public Administration,1975,8,130,12192,1578884,234.46
36,005,Bronx,00,All Industries,2000,14572,212982,32850,6996476345,631.73
36,005,Bronx,01,"Agriculture, Mining & Unclassified",2000,280,783,18356,14375949,353.00
36,005,Bronx,03,Construction,2000,1000,10860,47070,511163139,905.18
36,005,Bronx,04,Manufacturing,2000,435,10915,32375,353360402,622.60
36,005,Bronx,05,Transportation & Public Utilities,2000,473,11859,45693,541889562,878.72
36,005,Bronx,06,Wholesale Trade,2000,802,12008,41809,502064338,804.03
36,005,Bronx,07,Retail Trade,2000,4134,30912,18061,558278707,347.32
36,005,Bronx,08,"Finance,  Insurance & Real Estate",2000,2841,12505,28569,357245653,549.40
36,005,Bronx,09,Services,2000,4593,118256,33132,3918087578,637.16
36,005,Bronx,10,Public Administration,2000,14,4884,49138,240011017,944.96
36,005,Bronx,00,All Industries,1999,14596,209296,31975,6692307193,614.91
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1999,157,513,21016,10781167,404.15
36,005,Bronx,03,Construction,1999,973,9894,43241,427804996,831.55
36,005,Bronx,04,Manufacturing,1999,456,11307,30839,348686544,593.06
36,005,Bronx,05,Transportation & Public Utilities,1999,465,11906,43593,519021856,838.33
36,005,Bronx,06,Wholesale Trade,1999,837,12087,39276,474706723,755.30
36,005,Bronx,07,Retail Trade,1999,4140,30748,17359,533752503,333.82
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1999,2918,12540,28288,354720882,544.00
36,005,Bronx,09,Services,1999,4636,115843,32819,3801894811,631.14
36,005,Bronx,10,Public Administration,1999,14,4459,49548,220937711,952.84
36,005,Bronx,00,All Industries,1998,14434,205225,31131,6388832890,598.67
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1998,566,917,17591,16126238,338.28
36,005,Bronx,03,Construction,1998,946,9435,40581,382860784,780.40
36,005,Bronx,04,Manufacturing,1998,469,12253,29675,363602992,570.67
36,005,Bronx,05,Transportation & Public Utilities,1998,435,11986,42300,506982241,813.45
36,005,Bronx,06,Wholesale Trade,1998,818,11469,38758,444507376,745.35
36,005,Bronx,07,Retail Trade,1998,3949,29460,17298,509594437,332.65
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1998,2837,12204,27686,337878835,532.42
36,005,Bronx,09,Services,1998,4401,112946,31896,3602511196,613.38
36,005,Bronx,10,Public Administration,1998,13,4556,49334,224768791,948.73
36,005,Bronx,00,All Industries,1997,14511,204877,30163,6179691256,580.06
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1997,488,1078,15826,17053773,304.35
36,005,Bronx,03,Construction,1997,968,9046,38246,345966928,735.49
36,005,Bronx,04,Manufacturing,1997,481,12615,27986,353046381,538.19
36,005,Bronx,05,Transportation & Public Utilities,1997,464,11649,39092,455380683,751.77
36,005,Bronx,06,Wholesale Trade,1997,833,11223,37326,418905707,717.81
36,005,Bronx,07,Retail Trade,1997,4065,29269,16731,489692372,321.74
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1997,2905,12266,26913,330102291,517.56
36,005,Bronx,09,Services,1997,4294,113055,31298,3538386282,601.88
36,005,Bronx,10,Public Administration,1997,13,4677,49425,231156839,950.48
36,005,Bronx,00,All Industries,1996,14165,204517,29588,6051277940,569.00
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1996,315,1035,15390,15929474,295.95
36,005,Bronx,03,Construction,1996,968,9062,38307,347143001,736.67
36,005,Bronx,04,Manufacturing,1996,501,13408,27147,363988267,522.07
36,005,Bronx,05,Transportation & Public Utilities,1996,483,11626,38551,448205350,741.36
36,005,Bronx,06,Wholesale Trade,1996,855,11243,35540,399560244,683.46
36,005,Bronx,07,Retail Trade,1996,4012,28215,16225,457798775,312.03
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1996,2833,11888,26114,310436656,502.20
36,005,Bronx,09,Services,1996,4186,113228,30780,3485171742,591.93
36,005,Bronx,10,Public Administration,1996,12,4813,46344,223044431,891.22
36,005,Bronx,00,All Industries,1995,14089,203693,29174,5942607160,561.04
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1995,266,848,15625,13249759,300.48
36,005,Bronx,03,Construction,1995,964,8750,38188,334158191,734.39
36,005,Bronx,04,Manufacturing,1995,530,14503,25934,376114628,498.73
36,005,Bronx,05,Transportation & Public Utilities,1995,486,11511,37867,435876976,728.22
36,005,Bronx,06,Wholesale Trade,1995,869,11399,33879,386191812,651.53
36,005,Bronx,07,Retail Trade,1995,4019,27961,15950,445978892,306.74
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1995,2790,11781,25361,298773646,487.71
36,005,Bronx,09,Services,1995,4152,111881,30641,3428159011,589.25
36,005,Bronx,10,Public Administration,1995,13,5061,44285,224104245,851.63
36,005,Bronx,00,All Industries,1994,14040,201970,28730,5802537748,552.49
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1994,251,728,15453,11250813,297.17
36,005,Bronx,03,Construction,1994,974,8559,38355,328273195,737.59
36,005,Bronx,04,Manufacturing,1994,549,14890,25506,379784237,490.49
36,005,Bronx,05,Transportation & Public Utilities,1994,469,11202,38420,430390332,738.85
36,005,Bronx,06,Wholesale Trade,1994,862,11238,32426,364395450,623.57
36,005,Bronx,07,Retail Trade,1994,4068,27329,15863,433531587,305.06
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1994,2703,11667,24681,287958536,474.64
36,005,Bronx,09,Services,1994,4151,111176,30077,3343859459,578.41
36,005,Bronx,10,Public Administration,1994,13,5180,43067,223094139,828.21
36,005,Bronx,00,All Industries,1993,14043,199248,28053,5589588938,539.49
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1993,354,940,15137,14229852,291.09
36,005,Bronx,03,Construction,1993,992,8390,36543,306596121,702.74
36,005,Bronx,04,Manufacturing,1993,566,15314,24978,382497864,480.34
36,005,Bronx,05,Transportation & Public Utilities,1993,461,11020,37467,412891843,720.53
36,005,Bronx,06,Wholesale Trade,1993,881,11079,32177,356477893,618.80
36,005,Bronx,07,Retail Trade,1993,4098,27336,15582,425942483,299.65
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1993,2631,11459,23858,273398053,458.81
36,005,Bronx,09,Services,1993,4047,108435,29466,3195141104,566.65
36,005,Bronx,10,Public Administration,1993,13,5276,42160,222413725,810.76
36,005,Bronx,00,All Industries,1992,14008,195808,27696,5423178803,532.62
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1992,194,804,16381,13172061,315.03
36,005,Bronx,03,Construction,1992,1066,8585,36507,313419152,702.06
36,005,Bronx,04,Manufacturing,1992,615,15489,24585,380808792,472.79
36,005,Bronx,05,Transportation & Public Utilities,1992,485,10953,37119,406570943,713.82
36,005,Bronx,06,Wholesale Trade,1992,912,11036,32107,354351106,617.45
36,005,Bronx,07,Retail Trade,1992,4043,27696,15899,440319531,305.74
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1992,2584,11669,25292,295131621,486.39
36,005,Bronx,09,Services,1992,4096,104147,28846,3004239720,554.73
36,005,Bronx,10,Public Administration,1992,13,5428,39639,215165877,762.30
36,005,Bronx,00,All Industries,1991,14043,197145,25952,5116267989,499.07
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1991,231,604,16422,9923089,315.81
36,005,Bronx,03,Construction,1991,1109,10787,35061,378189270,674.24
36,005,Bronx,04,Manufacturing,1991,663,16339,24419,398980329,469.59
36,005,Bronx,05,Transportation & Public Utilities,1991,449,11687,33584,392507087,645.85
36,005,Bronx,06,Wholesale Trade,1991,929,11215,31011,347800538,596.37
36,005,Bronx,07,Retail Trade,1991,4134,27971,15321,428528728,294.63
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1991,2421,11103,22058,244899078,424.19
36,005,Bronx,09,Services,1991,4095,102072,26664,2721650522,512.77
36,005,Bronx,10,Public Administration,1991,12,5367,36106,193789348,694.34
36,005,Bronx,00,All Industries,1990,13910,203184,24541,4986373082,471.95
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1990,286,750,14258,10695870,274.19
36,005,Bronx,03,Construction,1990,1136,12426,36053,447985880,693.33
36,005,Bronx,04,Manufacturing,1990,713,17961,22209,398905241,427.10
36,005,Bronx,05,Transportation & Public Utilities,1990,454,11520,33100,381292942,636.53
36,005,Bronx,06,Wholesale Trade,1990,918,12019,29403,353380788,565.44
36,005,Bronx,07,Retail Trade,1990,4070,29975,14754,442248412,283.73
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1990,2310,11407,21345,243475065,410.49
36,005,Bronx,09,Services,1990,4009,101864,24828,2529037177,477.45
36,005,Bronx,10,Public Administration,1990,14,5263,34078,179351707,655.34
36,005,Bronx,00,All Industries,1989,13811,203686,23089,4702907926,444.02
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1989,284,949,14730,13981651,283.28
36,005,Bronx,03,Construction,1989,1117,12743,35275,449506801,678.37
36,005,Bronx,04,Manufacturing,1989,713,18937,21468,406537185,412.85
36,005,Bronx,05,Transportation & Public Utilities,1989,432,11291,30520,344587335,586.92
36,005,Bronx,06,Wholesale Trade,1989,913,12160,27738,337300520,533.42
36,005,Bronx,07,Retail Trade,1989,4138,31367,14373,450836736,276.40
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1989,2207,11412,21493,245281165,413.33
36,005,Bronx,09,Services,1989,3993,99316,22973,2281619817,441.79
36,005,Bronx,10,Public Administration,1989,14,5510,31442,173256716,604.65
36,005,Bronx,00,All Industries,1988,13747,203129,21836,4435572512,419.93
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1988,311,858,14703,12611820,282.76
36,005,Bronx,03,Construction,1988,1087,13294,31737,421905007,610.32
36,005,Bronx,04,Manufacturing,1988,750,19635,20242,397440602,389.26
36,005,Bronx,05,Transportation & Public Utilities,1988,432,11447,30819,352791428,592.67
36,005,Bronx,06,Wholesale Trade,1988,917,12139,26824,325605207,515.85
36,005,Bronx,07,Retail Trade,1988,4093,32094,13661,438452709,262.72
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1988,2173,10798,20377,220028111,391.86
36,005,Bronx,09,Services,1988,3970,97255,21618,2102439284,415.73
36,005,Bronx,10,Public Administration,1988,14,5610,29285,164298344,563.17
36,005,Bronx,00,All Industries,1987,13659,200437,20636,4136140881,396.84
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1987,384,1162,13051,15164606,250.99
36,005,Bronx,03,Construction,1987,1023,13611,30025,408662767,577.41
36,005,Bronx,04,Manufacturing,1987,772,19748,19579,386645972,376.52
36,005,Bronx,05,Transportation & Public Utilities,1987,438,11085,29676,328943044,570.69
36,005,Bronx,06,Wholesale Trade,1987,910,11924,25294,301592021,486.41
36,005,Bronx,07,Retail Trade,1987,4042,31731,12922,410035498,248.51
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1987,2181,10672,18900,201701127,363.46
36,005,Bronx,09,Services,1987,3895,95114,20351,1935695828,391.37
36,005,Bronx,10,Public Administration,1987,14,5392,27395,147700018,526.83
36,005,Bronx,00,All Industries,1986,13559,200255,19800,3965106391,380.77
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1986,279,933,12924,12058402,248.54
36,005,Bronx,03,Construction,1986,1007,13541,29731,402588415,571.75
36,005,Bronx,04,Manufacturing,1986,787,21521,19011,409138713,365.60
36,005,Bronx,05,Transportation & Public Utilities,1986,450,10981,28045,307956285,539.32
36,005,Bronx,06,Wholesale Trade,1986,918,11851,23926,283544850,460.12
36,005,Bronx,07,Retail Trade,1986,4044,31190,12600,392980577,242.30
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1986,2215,10730,17622,189086590,338.89
36,005,Bronx,09,Services,1986,3846,94403,19346,1826312088,372.04
36,005,Bronx,10,Public Administration,1986,13,5107,27697,141440471,532.64
36,005,Bronx,00,All Industries,1985,13477,194297,18670,3627529804,359.04
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1985,285,1036,12301,12739213,236.57
36,005,Bronx,03,Construction,1985,944,12393,26494,328322696,509.49
36,005,Bronx,04,Manufacturing,1985,809,20961,18539,388599963,356.53
36,005,Bronx,05,Transportation & Public Utilities,1985,457,11110,27103,301107179,521.20
36,005,Bronx,06,Wholesale Trade,1985,899,11747,22886,268845254,440.12
36,005,Bronx,07,Retail Trade,1985,3979,30957,12027,372316295,231.28
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1985,2298,10589,16054,169992588,308.73
36,005,Bronx,09,Services,1985,3793,90193,18219,1643209201,350.36
36,005,Bronx,10,Public Administration,1985,13,5312,26808,142397415,515.54
36,005,Bronx,00,All Industries,1984,13346,188195,17691,3329329700,340.21
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1984,340,979,12681,12409409,243.87
36,005,Bronx,03,Construction,1984,901,10505,24799,260518412,476.91
36,005,Bronx,04,Manufacturing,1984,817,22028,17685,389557931,340.09
36,005,Bronx,05,Transportation & Public Utilities,1984,472,11347,25440,288660988,489.23
36,005,Bronx,06,Wholesale Trade,1984,887,11042,22344,246722185,429.69
36,005,Bronx,07,Retail Trade,1984,3945,31115,11592,360699373,222.93
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1984,2296,10430,15003,156488894,288.53
36,005,Bronx,09,Services,1984,3673,85391,17295,1476805634,332.59
36,005,Bronx,10,Public Administration,1984,15,5359,25653,137466874,493.33
36,005,Bronx,00,All Industries,1983,13397,184767,16923,3126803597,325.44
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1983,344,1059,11677,12365229,224.56
36,005,Bronx,03,Construction,1983,883,9652,23652,228290944,454.84
36,005,Bronx,04,Manufacturing,1983,855,22334,16975,379120590,326.45
36,005,Bronx,05,Transportation & Public Utilities,1983,452,11354,24075,273342566,462.99
36,005,Bronx,06,Wholesale Trade,1983,899,10713,21505,230377098,413.56
36,005,Bronx,07,Retail Trade,1983,3937,31006,11197,347177080,215.33
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1983,2371,10242,14216,145601479,273.39
36,005,Bronx,09,Services,1983,3641,83145,16570,1377718359,318.66
36,005,Bronx,10,Public Administration,1983,15,5264,25231,132810252,485.21
36,005,Bronx,00,All Industries,1982,13619,185310,16102,2983910693,309.66
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1982,340,1087,12116,13174201,233.00
36,005,Bronx,03,Construction,1982,884,9673,22222,214950146,427.34
36,005,Bronx,04,Manufacturing,1982,849,24228,15527,376183114,298.59
36,005,Bronx,05,Transportation & Public Utilities,1982,457,11671,25859,301809485,497.29
36,005,Bronx,06,Wholesale Trade,1982,919,10621,20282,215426852,390.04
36,005,Bronx,07,Retail Trade,1982,3956,30715,10780,331096726,207.30
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1982,2511,11276,14698,165729329,282.65
36,005,Bronx,09,Services,1982,3687,80775,15380,1242298644,295.77
36,005,Bronx,10,Public Administration,1982,16,5264,23414,123242196,450.26
36,005,Bronx,00,All Industries,1981,14064,185643,14988,2782453705,288.24
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1981,266,1066,10906,11630095,209.73
36,005,Bronx,03,Construction,1981,915,9021,19718,177871575,379.20
36,005,Bronx,04,Manufacturing,1981,887,26609,14213,378195157,273.33
36,005,Bronx,05,Transportation & Public Utilities,1981,519,11702,22081,258404613,424.64
36,005,Bronx,06,Wholesale Trade,1981,945,10775,18957,204256601,364.55
36,005,Bronx,07,Retail Trade,1981,4051,30711,10443,320722857,200.83
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1981,2652,11447,13151,150538668,252.90
36,005,Bronx,09,Services,1981,3808,79022,14718,1163027848,283.03
36,005,Bronx,10,Public Administration,1981,21,5289,22272,117806291,428.32
36,005,Bronx,00,All Industries,1980,14626,183399,13746,2521085760,264.35
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1980,283,983,9896,9722912,190.31
36,005,Bronx,03,Construction,1980,939,9087,17908,162732706,344.39
36,005,Bronx,04,Manufacturing,1980,943,27594,13111,361786075,252.13
36,005,Bronx,05,Transportation & Public Utilities,1980,541,11914,19766,235498218,380.12
36,005,Bronx,06,Wholesale Trade,1980,952,10879,17688,192434374,340.16
36,005,Bronx,07,Retail Trade,1980,4194,31354,9839,308482258,189.21
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1980,2905,11309,11652,131767057,224.07
36,005,Bronx,09,Services,1980,3849,75006,13441,1008144341,258.48
36,005,Bronx,10,Public Administration,1980,20,5273,20959,110517819,403.05
36,005,Bronx,00,All Industries,1979,14957,183971,12664,2329759143,243.53
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1979,268,993,9099,9038879,174.98
36,005,Bronx,03,Construction,1979,946,8779,16093,141270781,309.47
36,005,Bronx,04,Manufacturing,1979,988,28131,11741,330284922,225.79
36,005,Bronx,05,Transportation & Public Utilities,1979,558,12305,18962,233316010,364.65
36,005,Bronx,06,Wholesale Trade,1979,989,10942,16330,178684212,314.04
36,005,Bronx,07,Retail Trade,1979,4282,32242,8970,289208983,172.50
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1979,3083,11658,10607,123652966,203.98
36,005,Bronx,09,Services,1979,3829,73481,12495,918163020,240.29
36,005,Bronx,10,Public Administration,1979,14,5440,19509,106139370,375.18
36,005,Bronx,00,All Industries,1978,15599,183943,11930,2194350875,229.41
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1978,161,804,8287,6663195,159.36
36,005,Bronx,03,Construction,1978,961,7485,15110,113098554,290.57
36,005,Bronx,04,Manufacturing,1978,1042,30755,11519,354251794,221.51
36,005,Bronx,05,Transportation & Public Utilities,1978,568,13537,17543,237486828,337.37
36,005,Bronx,06,Wholesale Trade,1978,1028,11150,15336,171005407,294.93
36,005,Bronx,07,Retail Trade,1978,4455,33249,8260,274635894,158.84
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1978,3460,11907,9935,118287732,191.05
36,005,Bronx,09,Services,1978,3915,70105,11777,825626466,226.48
36,005,Bronx,10,Public Administration,1978,9,4951,18845,93295005,362.41
36,005,Bronx,00,All Industries,1977,16420,177267,11124,1971828631,213.91
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1977,159,777,8392,6516222,161.38
36,005,Bronx,03,Construction,1977,975,7205,14447,104090895,277.82
36,005,Bronx,04,Manufacturing,1977,1098,31319,10855,339957373,208.74
36,005,Bronx,05,Transportation & Public Utilities,1977,583,14415,15532,223897711,298.69
36,005,Bronx,06,Wholesale Trade,1977,1062,11249,14416,162169862,277.23
36,005,Bronx,07,Retail Trade,1977,4710,34851,8022,279570670,154.27
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1977,3768,12678,9367,118756183,180.14
36,005,Bronx,09,Services,1977,4054,59729,10788,644347080,207.46
36,005,Bronx,10,Public Administration,1977,11,5043,18346,92522635,352.82
36,005,Bronx,00,All Industries,1976,17164,181507,10553,1915529098,202.95
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1976,138,643,8454,5437431,162.58
36,005,Bronx,03,Construction,1976,1044,7275,13760,100096632,264.61
36,005,Bronx,04,Manufacturing,1976,1170,31842,10298,327891291,198.03
36,005,Bronx,05,Transportation & Public Utilities,1976,585,15631,13854,216562752,266.43
36,005,Bronx,06,Wholesale Trade,1976,1100,11664,13533,157844315,260.25
36,005,Bronx,07,Retail Trade,1976,4936,36253,7819,283457752,150.36
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1976,4011,13225,9094,120271608,174.89
36,005,Bronx,09,Services,1976,4169,59644,10280,613120577,197.69
36,005,Bronx,10,Public Administration,1976,11,5331,17041,90846740,327.72
36,005,Bronx,00,All Industries,1975,17601,187551,10073,1889228322,193.71
36,005,Bronx,01,"Agriculture, Mining & Unclassified",1975,157,841,7461,6273201,143.49
36,005,Bronx,03,Construction,1975,1107,9415,13553,127599870,260.63
36,005,Bronx,04,Manufacturing,1975,1223,31572,9741,307550887,187.33
36,005,Bronx,05,Transportation & Public Utilities,1975,595,17264,12500,215791941,240.38
36,005,Bronx,06,Wholesale Trade,1975,1121,12070,12862,155235612,247.34
36,005,Bronx,07,Retail Trade,1975,5038,36272,7561,274234409,145.39
36,005,Bronx,08,"Finance,  Insurance & Real Estate",1975,4158,13606,8416,114504653,161.84
36,005,Bronx,09,Services,1975,4189,60981,9915,604643542,190.68
36,005,Bronx,10,Public Administration,1975,13,5532,15076,83394207,289.91
36,007,Broome,00,All Industries,2000,4385,99613,29658,2954335787,570.35
36,007,Broome,01,"Agriculture, Mining & Unclassified",2000,77,423,22237,9413710,427.64
36,007,Broome,03,Construction,2000,380,3660,34576,126539380,664.92
36,007,Broome,04,Manufacturing,2000,246,18323,42986,787641561,826.66
36,007,Broome,05,Transportation & Public Utilities,2000,187,5127,43383,222411202,834.29
36,007,Broome,06,Wholesale Trade,2000,322,4379,32869,143943188,632.10
36,007,Broome,07,Retail Trade,2000,1113,17361,14303,248315308,275.06
36,007,Broome,08,"Finance,  Insurance & Real Estate",2000,363,4310,34764,149833716,668.54
36,007,Broome,09,Services,2000,1638,39903,26883,1072718330,516.98
36,007,Broome,10,Public Administration,2000,59,6127,31585,193519392,607.41
36,007,Broome,00,All Industries,1999,4447,98804,28633,2829026914,550.63
36,007,Broome,01,"Agriculture, Mining & Unclassified",1999,78,366,19978,7302006,384.19
36,007,Broome,03,Construction,1999,384,3642,33286,121213423,640.11
36,007,Broome,04,Manufacturing,1999,251,19291,40573,782677196,780.25
36,007,Broome,05,Transportation & Public Utilities,1999,177,4999,41148,205709576,791.31
36,007,Broome,06,Wholesale Trade,1999,325,4492,32809,147374506,630.95
36,007,Broome,07,Retail Trade,1999,1142,17213,13902,239294905,267.35
36,007,Broome,08,"Finance,  Insurance & Real Estate",1999,350,3729,33339,124310564,641.14
36,007,Broome,09,Services,1999,1681,39101,26040,1018189924,500.77
36,007,Broome,10,Public Administration,1999,59,5973,30631,182954814,589.05
36,007,Broome,00,All Industries,1998,4398,97155,28002,2720534813,538.50
