Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
10,1,Capital Region,13-1151,Training and Development Specialists,1630,75676,74882,48878,89076
10,1,Capital Region,13-1161,Market Research Analysts and Marketing Specialists,2550,79230,70562,46692,95498
10,1,Capital Region,13-1199,"Business Operations Specialists, All Other",2800,86901,81238,55256,102722
10,1,Capital Region,13-2011,Accountants and Auditors,5440,91369,82689,59920,107093
10,1,Capital Region,13-2020,Appraisers and Assessors of Real Estate,290,72343,63899,51747,82640
10,1,Capital Region,13-2031,Budget Analysts,580,81432,79790,59362,92467
10,1,Capital Region,13-2041,Credit Analysts,110,95386,79229,58822,113667
10,1,Capital Region,13-2051,Financial Analysts,1220,90276,80547,60057,105384
10,1,Capital Region,13-2052,Personal Financial Advisors,860,172242,112609,63211,226758
10,1,Capital Region,13-2053,Insurance Underwriters,350,87763,79790,55362,103964
10,1,Capital Region,13-2054,Financial Risk Specialists,130,111854,108071,71345,132109
10,1,Capital Region,13-2061,Financial Examiners,260,85277,79790,57942,98944
10,1,Capital Region,13-2071,Credit Counselors,110,61672,55551,45137,69939
10,1,Capital Region,13-2072,Loan Officers,750,103214,79129,46718,131461
10,1,Capital Region,13-2081,"Tax Examiners and Collectors, and Revenue Agents",1200,65468,64322,47957,74224
10,1,Capital Region,13-2082,Tax Preparers,240,58242,49903,32943,70892
10,1,Capital Region,13-2099,"Financial Specialists, All Other",190,92798,84275,54391,112001
10,1,Capital Region,15-0000,Computer and Mathematical Occupations,16310,96252,90149,58406,115174
10,1,Capital Region,15-1211,Computer Systems Analysts,2680,92715,90149,66805,105670
10,1,Capital Region,15-1212,Information Security Analysts,390,109905,103842,72576,128571
10,1,Capital Region,15-1221,Computer and Information Research Scientists,120,186285,182107,127800,215527
10,1,Capital Region,15-1231,Computer Network Support Specialists,510,75441,69706,48922,88701
10,1,Capital Region,15-1232,Computer User Support Specialists,2540,63272,58160,42536,73640
10,1,Capital Region,15-1241,Computer Network Architects,510,117540,111276,73663,139480
10,1,Capital Region,15-1242,Database Administrators,400,98494,103370,65138,115172
10,1,Capital Region,15-1243,Database Architects,140,114265,101138,69692,136552
10,1,Capital Region,15-1244,Network and Computer Systems Administrators,1290,96870,96756,67446,111584
10,1,Capital Region,15-1251,Computer Programmers,1510,89682,89699,67586,100731
10,1,Capital Region,15-1252,Software Developers,3380,118913,115560,74998,140869
10,1,Capital Region,15-1253,Software Quality Assurance Analysts and Testers,510,99762,97377,68361,115462
10,1,Capital Region,15-1254,Web Developers,330,80987,73026,48220,97370
10,1,Capital Region,15-1255,Web and Digital Interface Designers,320,96377,85767,51420,118855
10,1,Capital Region,15-1299,"Computer Occupations, All Other",590,96159,86133,56244,116117
10,1,Capital Region,15-2011,Actuaries,130,123594,109820,66980,151900
10,1,Capital Region,15-2031,Operations Research Analysts,380,87383,85630,58085,102032
10,1,Capital Region,15-2041,Statisticians,120,130905,107363,74697,159009
10,1,Capital Region,15-2051,Data Scientists,440,106530,101038,63825,127883
10,1,Capital Region,17-0000,Architecture and Engineering Occupations,10940,100307,90406,61794,119564
10,1,Capital Region,17-1011,"Architects, Except Landscape and Naval",430,101566,95249,64714,119992
10,1,Capital Region,17-1012,Landscape Architects,100,91057,83208,63745,104712
10,1,Capital Region,17-1021,Cartographers and Photogrammetrists,,77415,68972,54097,89074
10,1,Capital Region,17-1022,Surveyors,150,83679,80501,57165,96936
10,1,Capital Region,17-2031,Biomedical Engineers,120,121117,114034,97108,133122
10,1,Capital Region,17-2041,Chemical Engineers,160,135083,133496,96259,154495
10,1,Capital Region,17-2051,Civil Engineers,1310,103268,100823,74267,117768
10,1,Capital Region,17-2071,Electrical Engineers,730,120491,111256,80473,140499
10,1,Capital Region,17-2072,"Electronics Engineers, Except Computer",180,127337,134750,86184,147912
10,1,Capital Region,17-2081,Environmental Engineers,420,94602,90363,67499,108153
10,1,Capital Region,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",170,104393,103153,71296,120940
10,1,Capital Region,17-2112,Industrial Engineers,1630,111109,108250,78637,127346
10,1,Capital Region,17-2121,Marine Engineers and Naval Architects,,102872,87908,84734,111941
10,1,Capital Region,17-2131,Materials Engineers,90,119908,113283,75488,142117
10,1,Capital Region,17-2141,Mechanical Engineers,1070,114508,109893,76041,133742
10,1,Capital Region,17-2199,"Engineers, All Other",780,124366,127930,85035,144031
10,1,Capital Region,17-3011,Architectural and Civil Drafters,330,66698,62189,46885,76604
10,1,Capital Region,17-3012,Electrical and Electronics Drafters,60,70670,66383,48552,81729
10,1,Capital Region,17-3013,Mechanical Drafters,200,73606,67946,54160,83329
10,1,Capital Region,17-3019,"Drafters, All Other",50,72115,69914,52329,82008
10,1,Capital Region,17-3022,Civil Engineering Technicians,210,64650,64615,45143,74404
10,1,Capital Region,17-3023,Electrical and Electronic Engineering Technicians,850,70564,67426,51034,80329
10,1,Capital Region,17-3025,Environmental Engineering Technicians,70,60443,58585,39661,70835
10,1,Capital Region,17-3026,Industrial Engineering Technicians,430,84407,84293,57211,98006
10,1,Capital Region,17-3027,Mechanical Engineering Technicians,160,71219,67533,46454,83601
10,1,Capital Region,17-3028,Calibration Technologists and Technicians,,76329,77722,44815,92085
10,1,Capital Region,17-3029,"Engineering Technicians, Except Drafters, All Other",680,61476,48726,48151,68139
10,1,Capital Region,17-3031,Surveying and Mapping Technicians,110,64439,62333,45385,73966
10,1,Capital Region,19-0000,"Life, Physical, and Social Science Occupations",8210,86201,79994,51780,103411
10,1,Capital Region,19-1012,Food Scientists and Technologists,,85311,80249,62789,96571
10,1,Capital Region,19-1021,Biochemists and Biophysicists,180,95337,79994,61053,112480
10,1,Capital Region,19-1023,Zoologists and Wildlife Biologists,70,83700,80249,60862,95120
10,1,Capital Region,19-1029,"Biological Scientists, All Other",90,117105,104977,70461,140425
10,1,Capital Region,19-1031,Conservation Scientists,60,83978,50492,45079,103429
10,1,Capital Region,19-1032,Foresters,,81561,80090,59878,92402
10,1,Capital Region,19-1041,Epidemiologists,,104026,92330,72189,119945
10,1,Capital Region,19-1042,"Medical Scientists, Except Epidemiologists",550,109087,105958,73449,126907
10,1,Capital Region,19-1099,"Life Scientists, All Other",,78850,76425,59206,88672
10,1,Capital Region,19-2012,Physicists,80,169503,163032,114181,197164
10,1,Capital Region,19-2021,Atmospheric and Space Scientists,70,122324,121370,68806,149082
10,1,Capital Region,19-2031,Chemists,450,106936,102475,67518,126646
10,1,Capital Region,19-2032,Materials Scientists,150,139635,136849,100897,159003
10,1,Capital Region,19-2041,"Environmental Scientists and Specialists, Including Health",490,82689,80249,61231,93419
10,1,Capital Region,19-2042,"Geoscientists, Except Hydrologists and Geographers",110,108095,90573,62557,130865
10,1,Capital Region,19-2043,Hydrologists,,93916,94102,71863,104942
10,1,Capital Region,19-2099,"Physical Scientists, All Other",710,99749,98270,63877,117686
10,1,Capital Region,19-3011,Economists,70,95629,92806,65844,110520
10,1,Capital Region,19-3022,Survey Researchers,170,91682,92356,70232,102408
10,1,Capital Region,19-3033,Clinical and Counseling Psychologists,300,105794,103370,69489,123946
10,1,Capital Region,19-3034,School Psychologists,340,91195,80700,63785,104900
10,1,Capital Region,19-3039,"Psychologists, All Other",90,101214,104034,55200,124219
10,1,Capital Region,19-3041,Sociologists,,96212,88818,63466,112585
10,1,Capital Region,19-3051,Urban and Regional Planners,330,86700,76126,58145,100978
10,1,Capital Region,19-3091,Anthropologists and Archeologists,,47435,39050,37156,52573
10,1,Capital Region,19-3093,Historians,60,53802,49960,33042,64184
10,1,Capital Region,19-3099,"Social Scientists and Related Workers, All Other",170,101027,83539,58793,122143
10,1,Capital Region,19-4021,Biological Technicians,750,66838,69566,46331,77090
10,1,Capital Region,19-4031,Chemical Technicians,370,62584,59164,45425,71162
10,1,Capital Region,19-4042,"Environmental Science and Protection Technicians, Including Health",140,65280,60845,45724,75059
10,1,Capital Region,19-4061,Social Science Research Assistants,280,48389,48894,32508,56329
10,1,Capital Region,19-4071,Forest and Conservation Technicians,,57421,55092,39199,66531
10,1,Capital Region,19-4092,Forensic Science Technicians,170,81114,82156,57700,92822
10,1,Capital Region,19-4099,"Life, Physical, and Social Science Technicians, All Other",890,58096,59160,40363,66962
10,1,Capital Region,19-5011,Occupational Health and Safety Specialists,500,86630,83740,58029,100930
10,1,Capital Region,19-5012,Occupational Health and Safety Technicians,70,62754,59940,44950,71657
10,1,Capital Region,21-0000,Community and Social Service Occupations,11800,62480,60622,41219,73110
10,1,Capital Region,21-1012,"Educational, Guidance, School, and Vocational Counselors",1430,65749,61150,46359,75443
10,1,Capital Region,21-1015,Rehabilitation Counselors,100,55777,47208,38598,64367
10,1,Capital Region,21-1018,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",1480,60025,52406,42527,68773
10,1,Capital Region,21-1019,"Counselors, All Other",,44610,44091,33794,50018
10,1,Capital Region,21-1021,"Child, Family, and School Social Workers",1930,70168,67371,54430,78038
10,1,Capital Region,21-1022,Healthcare Social Workers,1470,58683,53553,42239,66905
10,1,Capital Region,21-1023,Mental Health and Substance Abuse Social Workers,540,71196,70917,52060,80764
10,1,Capital Region,21-1029,"Social Workers, All Other",270,82237,81706,65574,90568
10,1,Capital Region,21-1091,Health Educators,270,69821,67261,44328,82568
10,1,Capital Region,21-1092,Probation Officers and Correctional Treatment Specialists,420,78725,78556,64591,85792
10,1,Capital Region,21-1093,Social and Human Service Assistants,1980,48442,45813,34919,55204
10,1,Capital Region,21-1094,Community Health Workers,390,67102,65496,41657,79825
10,1,Capital Region,21-1099,"Community and Social Service Specialists, All Other",430,73012,72277,54723,82156
10,1,Capital Region,21-2011,Clergy,540,63417,54504,36360,76946
10,1,Capital Region,21-2021,"Directors, Religious Activities and Education",300,55961,44028,35272,66306
10,1,Capital Region,21-2099,"Religious Workers, All Other",190,36149,31200,31200,39009
10,1,Capital Region,23-0000,Legal Occupations,6060,117023,100455,59205,145932
10,1,Capital Region,23-1011,Lawyers,3620,138596,120405,80487,167649
10,1,Capital Region,23-1012,Judicial Law Clerks,90,109468,117856,59140,134631
10,1,Capital Region,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",200,106749,102342,72278,123985
10,1,Capital Region,23-1022,"Arbitrators, Mediators, and Conciliators",,121121,125784,101022,131171
10,1,Capital Region,23-1023,"Judges, Magistrate Judges, and Magistrates",260,176549,186090,113968,207841
10,1,Capital Region,23-2011,Paralegals and Legal Assistants,1500,65229,62142,47594,74045
10,1,Capital Region,23-2093,"Title Examiners, Abstractors, and Searchers",140,65839,59614,41432,78043
10,1,Capital Region,23-2099,"Legal Support Workers, All Other",230,90206,90941,44330,113144
10,1,Capital Region,25-0000,"Education, Training, and Library Occupations",37550,71878,63720,37627,89004
10,1,Capital Region,25-1011,"Business Teachers, Postsecondary",540,85521,80487,48499,104032
10,1,Capital Region,25-1021,"Computer Science Teachers, Postsecondary",240,113547,106278,60928,139858
10,1,Capital Region,25-1022,"Mathematical Science Teachers, Postsecondary",260,100061,87762,58836,120673
10,1,Capital Region,25-1042,"Biological Science Teachers, Postsecondary",330,109164,89707,67007,130243
10,1,Capital Region,25-1052,"Chemistry Teachers, Postsecondary",220,98693,85129,62713,116682
10,1,Capital Region,25-1053,"Environmental Science Teachers, Postsecondary",,121380,91822,75422,144359
10,1,Capital Region,25-1054,"Physics Teachers, Postsecondary",150,114232,90761,70926,135886
10,1,Capital Region,25-1063,"Economics Teachers, Postsecondary",130,127218,114508,83521,149067
10,1,Capital Region,25-1065,"Political Science Teachers, Postsecondary",100,103297,89788,73335,118278
10,1,Capital Region,25-1066,"Psychology Teachers, Postsecondary",210,95668,88100,65817,110593
10,1,Capital Region,25-1067,"Sociology Teachers, Postsecondary",80,99546,89585,71466,113585
10,1,Capital Region,25-1069,"Social Sciences Teachers, Postsecondary, All Other",200,69754,65369,43692,82785
10,1,Capital Region,25-1072,"Nursing Instructors and Teachers, Postsecondary",310,82693,79813,46476,100802
10,1,Capital Region,25-1081,"Education Teachers, Postsecondary",260,73495,65131,52188,84148
10,1,Capital Region,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",100,92312,88938,60490,108223
10,1,Capital Region,25-1113,"Social Work Teachers, Postsecondary",80,94620,87582,70397,106731
10,1,Capital Region,25-1121,"Art, Drama, and Music Teachers, Postsecondary",520,88566,82198,54026,105835
10,1,Capital Region,25-1123,"English Language and Literature Teachers, Postsecondary",320,85807,84589,58330,99545
10,1,Capital Region,25-1125,"History Teachers, Postsecondary",110,93558,86213,64752,107962
10,1,Capital Region,25-1126,"Philosophy and Religion Teachers, Postsecondary",100,101834,86896,69728,117886
10,1,Capital Region,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",,70046,61997,54597,77770
10,1,Capital Region,25-1194,"Vocational Education Teachers, Postsecondary",200,64301,61168,46028,73438
10,1,Capital Region,25-1199,"Postsecondary Teachers, All Other",270,82909,67170,45364,101682
10,1,Capital Region,25-2011,"Preschool Teachers, Except Special Education",1280,41508,36614,32661,45932
10,1,Capital Region,25-2012,"Kindergarten Teachers, Except Special Education",370,77543,75137,50871,90879
10,1,Capital Region,25-2021,"Elementary School Teachers, Except Special Education",4780,78454,80538,53443,90960
10,1,Capital Region,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2620,81010,80937,58754,92139
10,1,Capital Region,25-2023,"Career/Technical  Education Teachers, Middle School",180,85496,82640,63692,96397
10,1,Capital Region,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",3750,80161,81667,56031,92226
10,1,Capital Region,25-2032,"Career/Technical Education Teachers, Secondary School",670,80040,79317,56018,92051
10,1,Capital Region,25-2051,"Special Education Teachers, Preschool",170,69006,61931,47826,79596
10,1,Capital Region,25-2052,"Special Education Teachers, Kindergarten and Elementary School",990,78805,71100,55734,90340
10,1,Capital Region,25-2057,"Special Education Teachers, Middle School",550,81490,80699,60116,92178
10,1,Capital Region,25-2058,"Special Education Teachers, Secondary School",800,80005,82104,57353,91331
10,1,Capital Region,25-2059,"Special Education Teachers, All Other",140,103362,111094,44643,132720
10,1,Capital Region,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,140,77682,77503,54556,89244
10,1,Capital Region,25-3021,Self-Enrichment Education Teachers,1350,57211,50602,34166,68734
10,1,Capital Region,25-3031,"Substitute Teachers, Short-Term",1980,46443,40211,34382,52472
10,1,Capital Region,25-3041,Tutors,470,62299,47129,32468,77214
10,1,Capital Region,25-3099,"Teachers and Instructors, All Other",110,75630,70777,57189,84852
10,1,Capital Region,25-4011,Archivists,,65251,60168,50388,72682
10,1,Capital Region,25-4012,Curators,90,87732,82424,54951,104123
10,1,Capital Region,25-4013,Museum Technicians and Conservators,80,67590,64864,55124,73822
10,1,Capital Region,25-4022,Librarians and Media Collections Specialists,690,74202,69180,52888,84859
10,1,Capital Region,25-4031,Library Technicians,200,45097,41259,32134,51579
10,1,Capital Region,25-9031,Instructional Coordinators,1400,80866,78057,54418,94090
10,1,Capital Region,25-9044,"Teaching Assistants, Postsecondary",490,54048,54452,37236,62454
10,1,Capital Region,25-9045,"Teaching Assistants, Except Postsecondary",7550,38070,36634,31439,41385
10,1,Capital Region,25-9099,"Education, Training, and Library Workers, All Other",100,72964,65978,52956,82970
10,1,Capital Region,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",6970,70117,60054,37846,86252
10,1,Capital Region,27-1011,Art Directors,110,106749,99783,54037,133105
10,1,Capital Region,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",,63116,54781,47382,70982
10,1,Capital Region,27-1021,Commercial and Industrial Designers,100,76164,69812,49038,89727
10,1,Capital Region,27-1022,Fashion Designers,,92944,75220,52607,113112
10,1,Capital Region,27-1023,Floral Designers,130,41355,38598,34786,44639
10,1,Capital Region,27-1024,Graphic Designers,560,63862,58735,42933,74327
10,1,Capital Region,27-1025,Interior Designers,200,69649,61799,41633,83658
10,1,Capital Region,27-1026,Merchandise Displayers and Window Trimmers,520,42450,37547,34408,46469
10,1,Capital Region,27-1029,"Designers, All Other",,72594,65059,55140,81322
10,1,Capital Region,27-2012,Producers and Directors,390,85310,68143,45469,105230
10,1,Capital Region,27-2022,Coaches and Scouts,980,56267,43647,32484,68157
10,1,Capital Region,27-2023,"Umpires, Referees, and Other Sports Officials",50,55689,40522,32188,67439
10,1,Capital Region,27-2041,Music Directors and Composers,100,82815,59228,36763,105841
10,1,Capital Region,27-3011,Radio and Television Announcers,110,59020,41106,33963,71549
10,1,Capital Region,27-3023,"News Analysts, Reporters, and Journalist",150,98932,61722,40823,127986
10,1,Capital Region,27-3031,Public Relations Specialists,1450,75620,75078,49184,88839
10,1,Capital Region,27-3041,Editors,360,83559,74360,49689,100493
10,1,Capital Region,27-3042,Technical Writers,150,81050,81479,45520,98816
10,1,Capital Region,27-3043,Writers and Authors,190,108445,72854,49239,138048
10,1,Capital Region,27-3091,Interpreters and Translators,140,72243,65604,55513,80608
10,1,Capital Region,27-3092,Court Reporters and Simultaneous Captioners,,90855,97770,70134,101216
10,1,Capital Region,27-3099,"Media and Communication Workers, All Other",,61128,62868,40523,71430
10,1,Capital Region,27-4011,Audio and Video Equipment Technicians,210,57559,50902,38471,67103
10,1,Capital Region,27-4012,Broadcast Technicians,70,52990,46018,33336,62816
10,1,Capital Region,27-4014,Sound Engineering Technicians,,64981,61583,37724,78610
10,1,Capital Region,27-4021,Photographers,210,53997,41867,33629,64181
10,1,Capital Region,27-4031,"Camera Operators, Television, Video, and Motion Picture",70,51441,53656,34238,60043
10,1,Capital Region,27-4032,Film and Video Editors,50,71840,60075,37405,89058
10,1,Capital Region,29-0000,Healthcare Practitioners and Technical Occupations,32630,98941,83927,52487,122168
10,1,Capital Region,29-1011,Chiropractors,70,90666,82269,48577,111711
10,1,Capital Region,29-1021,"Dentists, General",280,164100,165012,81929,205185
10,1,Capital Region,29-1029,"Dentists, All Other Specialists",,262255,217561,104584,341091
10,1,Capital Region,29-1031,Dietitians and Nutritionists,290,76863,75570,58383,86102
10,1,Capital Region,29-1041,Optometrists,100,155553,161835,104925,180866
10,1,Capital Region,29-1051,Pharmacists,1240,128333,133047,97540,143728
10,1,Capital Region,29-1071,Physician Assistants,790,129673,131032,101508,143756
10,1,Capital Region,29-1081,Podiatrists,,145121,110140,74440,180461
10,1,Capital Region,29-1122,Occupational Therapists,560,83395,80974,60019,95083
10,1,Capital Region,29-1123,Physical Therapists,810,93316,91114,70812,104568
10,1,Capital Region,29-1124,Radiation Therapists,60,103660,104738,78720,116130
10,1,Capital Region,29-1125,Recreational Therapists,,68745,69235,50564,77835
10,1,Capital Region,29-1126,Respiratory Therapists,390,85792,81243,71584,92897
10,1,Capital Region,29-1127,Speech-Language Pathologists,710,88169,81518,61159,101674
10,1,Capital Region,29-1128,Exercise Physiologists,,62392,49636,46257,70459
10,1,Capital Region,29-1129,"Therapists, All Other",70,72772,57159,41811,88253
10,1,Capital Region,29-1131,Veterinarians,300,145538,128629,87292,174661
10,1,Capital Region,29-1141,Registered Nurses,11620,92542,87276,69428,104100
10,1,Capital Region,29-1151,Nurse Anesthetists,,254575,235799,219799,271964
10,1,Capital Region,29-1161,Nurse Midwives,,140705,136624,116362,152876
10,1,Capital Region,29-1171,Nurse Practitioners,880,133766,128655,99324,150988
10,1,Capital Region,29-1181,Audiologists,50,84376,79227,69579,91775
10,1,Capital Region,29-1211,Anesthesiologists,,308191,,90748,416913
10,1,Capital Region,29-1213,Dermatologists,50,384573,,215302,
10,1,Capital Region,29-1214,Emergency Medicine Physicians,130,206845,178290,90623,264956
10,1,Capital Region,29-1215,Family Medicine Physicians,270,214520,204374,117197,263180
10,1,Capital Region,29-1216,General Internal Medicine Physicians,500,214294,178365,84956,278963
10,1,Capital Region,29-1217,Neurologists,80,284444,,95410,
10,1,Capital Region,29-1218,Obstetricians and Gynecologists,90,253906,,93149,334283
10,1,Capital Region,29-1223,Psychiatrists,140,200510,212938,84565,258483
10,1,Capital Region,29-1229,"Physicians, All Other",470,304855,,170921,
10,1,Capital Region,29-1241,"Ophthalmologists, Except Pediatric",,251234,,87579,
10,1,Capital Region,29-1242,"Orthopedic Surgeons, Except Pediatric",60,267293,245543,88595,356642
10,1,Capital Region,29-1249,"Surgeons, All Other",170,247212,119480,85752,327942
10,1,Capital Region,29-1292,Dental Hygienists,840,86960,86060,80051,90413
10,1,Capital Region,29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",50,96263,87578,76383,106203
10,1,Capital Region,29-2010,Clinical Laboratory Technologists and Technicians,930,72535,72406,44045,86779
10,1,Capital Region,29-2031,Cardiovascular Technologists and Technicians,250,67383,66363,41492,80328
10,1,Capital Region,29-2032,Diagnostic Medical Sonographers,330,88619,84986,76364,94748
10,1,Capital Region,29-2033,Nuclear Medicine Technologists,50,96029,103820,72633,107727
10,1,Capital Region,29-2034,Radiologic Technologists,780,77494,77746,61049,85716
10,1,Capital Region,29-2035,Magnetic Resonance Imaging Technologists,220,84418,84505,66886,93185
10,1,Capital Region,29-2036,Medical Dosimetrists,,137464,133558,130094,141151
10,1,Capital Region,29-2042,Emergency Medical Technicians,880,41206,40133,36264,43677
10,1,Capital Region,29-2043,Paramedics,580,58268,56911,50248,62278
10,1,Capital Region,29-2051,Dietetic Technicians,50,42831,38869,33413,47539
10,1,Capital Region,29-2052,Pharmacy Technicians,1340,41042,37740,34781,44173
10,1,Capital Region,29-2053,Psychiatric Technicians,60,44919,41511,38447,48155
10,1,Capital Region,29-2055,Surgical Technologists,260,56965,53643,43653,63621
10,1,Capital Region,29-2056,Veterinary Technologists and Technicians,500,52970,49982,44349,57280
10,1,Capital Region,29-2057,Ophthalmic Medical Technicians,180,46749,47081,38730,50759
10,1,Capital Region,29-2061,Licensed Practical and Licensed Vocational Nurses,2840,58574,55112,50023,62851
10,1,Capital Region,29-2072,Medical Records Specialists,580,58230,53455,42307,66192
10,1,Capital Region,29-2081,"Opticians, Dispensing",240,60418,61409,46144,67556
10,1,Capital Region,29-2091,Orthotists and Prosthetists,50,77468,76938,50791,90806
10,1,Capital Region,29-2092,Hearing Aid Specialists,,64889,50576,45244,74712
10,1,Capital Region,29-2099,"Health Technologists and Technicians, All Other",390,54641,48517,37340,63292
10,1,Capital Region,29-9021,Health Information Technologists and Medical Registrars,60,79182,62941,42629,97458
10,1,Capital Region,29-9091,Athletic Trainers,90,64161,56058,48234,72124
10,1,Capital Region,29-9093,Surgical Assistants,,84552,85123,53771,99943
10,1,Capital Region,29-9099,"Healthcare Practitioners and Technical Workers, All Other",,88160,87491,54000,105240
10,1,Capital Region,31-0000,Healthcare Support Occupations,22040,41353,38059,33142,45457
10,1,Capital Region,31-1120,Home Health & Personal Care Aides,12290,39647,36456,31998,43472
10,1,Capital Region,31-1131,Nursing Assistants,4550,40845,39665,35462,43535
10,1,Capital Region,31-1132,Orderlies,100,37274,36474,33104,39358
10,1,Capital Region,31-1133,Psychiatric Aides,170,45724,42826,38512,49330
10,1,Capital Region,31-2011,Occupational Therapy Assistants,130,64538,60489,51793,70910
10,1,Capital Region,31-2012,Occupational Therapy Aides,,47049,41643,38203,51472
10,1,Capital Region,31-2021,Physical Therapist Assistants,190,58132,59344,44078,65158
10,1,Capital Region,31-2022,Physical Therapist Aides,90,37035,31749,31200,40320
10,1,Capital Region,31-9011,Massage Therapists,230,64883,50857,35127,79761
10,1,Capital Region,31-9091,Dental Assistants,1000,48149,47436,38401,53023
10,1,Capital Region,31-9092,Medical Assistants,1670,42954,41537,37450,45705
10,1,Capital Region,31-9093,Medical Equipment Preparers,240,44396,43146,37538,47825
10,1,Capital Region,31-9094,Medical Transcriptionists,130,42094,39750,31459,47411
10,1,Capital Region,31-9095,Pharmacy Aides,180,36215,35808,32017,38314
10,1,Capital Region,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,500,42257,38593,35642,45565
10,1,Capital Region,31-9097,Phlebotomists,280,44335,42918,36670,48166
10,1,Capital Region,31-9099,"Healthcare Support Workers, All Other",270,45043,39969,37362,48884
10,1,Capital Region,33-0000,Protective Service Occupations,12630,67279,64344,39521,81158
10,1,Capital Region,33-1011,First-Line Supervisors of Correctional Officers,360,91831,91215,75846,99824
10,1,Capital Region,33-1012,First-Line Supervisors of Police and Detectives,740,114960,117881,82803,131039
10,1,Capital Region,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,160,86352,87218,58659,100198
10,1,Capital Region,33-1091,First-Line Supervisors of Security Workers,150,65194,57676,47310,74136
10,1,Capital Region,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",90,80026,77884,57265,91407
10,1,Capital Region,33-2011,Firefighters,530,72976,72596,52251,83337
10,1,Capital Region,33-2021,Fire Inspectors and Investigators,110,74892,80296,49775,87450
10,1,Capital Region,33-3011,Bailiffs,220,70591,78825,49881,80946
10,1,Capital Region,33-3012,Correctional Officers and Jailers,2650,67217,68674,56103,72774
10,1,Capital Region,33-3021,Detectives and Criminal Investigators,940,97438,102316,68564,111874
10,1,Capital Region,33-3031,Fish and Game Wardens,60,83121,83984,70999,89181
10,1,Capital Region,33-3041,Parking Enforcement Workers,,41897,43027,36027,44832
10,1,Capital Region,33-3051,Police and Sheriff's Patrol Officers,2370,76012,74262,54097,86970
10,1,Capital Region,33-9011,Animal Control Workers,110,67960,52872,39158,82360
10,1,Capital Region,33-9021,Private Detectives and Investigators,90,58390,45480,39418,67875
10,1,Capital Region,33-9032,Security Guards,2360,43738,40541,33387,48914
10,1,Capital Region,33-9091,Crossing Guards,270,51715,41506,34260,60442
10,1,Capital Region,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service",380,33491,31822,31200,35004
10,1,Capital Region,33-9093,Transportation Security Screeners,,51164,51136,44015,54739
10,1,Capital Region,33-9094,School Bus Monitors,780,35897,33949,31608,38041
10,1,Capital Region,33-9099,"Protective Service Workers, All Other",70,58508,57203,37976,68774
10,1,Capital Region,35-0000,Food Preparation and Serving Related Occupations,39350,41248,35712,31200,46334
10,1,Capital Region,35-1011,Chefs and Head Cooks,510,68900,63662,42609,82046
10,1,Capital Region,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,3020,47165,42206,35139,53179
10,1,Capital Region,35-2011,"Cooks, Fast Food",1720,32361,31200,31200,33319
10,1,Capital Region,35-2012,"Cooks, Institution and Cafeteria",1070,41775,39362,34220,45553
10,1,Capital Region,35-2014,"Cooks, Restaurant",3450,40305,38354,33268,43825
10,1,Capital Region,35-2015,"Cooks, Short Order",670,39309,38698,33182,42372
10,1,Capital Region,35-2019,"Cooks, All Other",,41992,33467,31862,47057
10,1,Capital Region,35-2021,Food Preparation Workers,1880,36225,34960,31200,38830
10,1,Capital Region,35-3011,Bartenders,2320,49418,39515,31717,58267
10,1,Capital Region,35-3023,Fast Food and Counter Workers,10860,34836,34625,31200,36705
10,1,Capital Region,35-3031,Waiters and Waitresses,6830,53312,47850,31756,64091
10,1,Capital Region,35-3041,"Food Servers, Nonrestaurant",1200,36243,34274,31200,38801
10,1,Capital Region,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,2510,38425,34843,31200,42224
10,1,Capital Region,35-9021,Dishwashers,1960,33576,31435,31200,35129
10,1,Capital Region,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1310,36091,32647,31200,38669
10,1,Capital Region,37-0000,Building and Grounds Cleaning and Maintenance Occupations,16540,41186,37634,32391,45583
10,1,Capital Region,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,670,51957,50046,38807,58531
10,1,Capital Region,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",420,57754,50386,45114,64074
