County,County MAPSYM,MAPSYM,MUKEY,Default Mineral Soil Group,Multiple MSG Flag,Flag - MSG Values,Flag - Fields,Capability Class (FM5 CAP),Soil Temp. Regime,Soil Modifier,Soil Slope,Soil Name,Drainage,Modifier,Texture,Flooding,Lime,Rotation,Corn Yield (ton/acre),Hay Yield (ton/acre),Change,TDN (ton/acre),Index (TDN)
Cattaraugus,NY009_74,74,289696,8,,,,4W,Mesic,,"""00-03""",ASHVILLE,Very Poorly Drained,,Silty Loam,,Requires lime additions within every rotation,2,8.25,0.96,,0.48,10.57
Cattaraugus,NY009_75,75,289697,8,,,,4W,Mesic,,"""00-03""",ALDEN,Very Poorly Drained,Muck,Silty Loam,,Requires lime additions within every rotation,2,8.25,0.96,,0.48,10.57
Cattaraugus,NY009_76A,76A,289698,6,,,,3W,Mesic,,"""00-03""",ORPARK,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,12.75,2.275,,1.56,34.39
Cattaraugus,NY009_76B,76B,289699,6,,,,3W,Mesic,,"""03-08""",ORPARK,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,12.75,2.275,,1.56,34.39
Cattaraugus,NY009_76C,76C,289700,7,,,,3E,Mesic,,"""08-15""",ORPARK,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,2,11.25,1.92,,1.22,26.83
Cattaraugus,NY009_77A,77A,289701,7,,,,4W,Mesic,,"""00-03""",CHIPPEWA,Poorly Drained,,Silty Loam,,Requires lime additions within every rotation,3,11.25,1.6,,1.24,27.2
Cattaraugus,NY009_78A,78A,289702,6,,,,3W,Mesic,,"""00-03""",HORNELL,Somewhat Poorly Drained to Moderately Well Drained,,Silty Loam,,Requires lime additions within every rotation,3,12,1.95,,1.4,30.89
Cattaraugus,NY009_78B,78B,289703,6,,,,3W,Mesic,,"""03-08""",HORNELL,Somewhat Poorly Drained to Moderately Well Drained,,Silty Loam,,Requires lime additions within every rotation,3,12,1.95,,1.4,30.89
Cattaraugus,NY009_78C,78C,289704,7,,,,3E,Mesic,,"""08-15""",HORNELL,Somewhat Poorly Drained to Moderately Well Drained,,Silty Loam,,Requires lime additions within every rotation,1,10.5,1.6,,0.93,20.48
Cattaraugus,NY009_78D,78D,289705,8,,,,4E,Mesic,,"""15-25""",HORNELL,Somewhat Poorly Drained to Moderately Well Drained,,Silty Loam,,Requires lime additions within every rotation,0,0,0.96,,0.48,10.57
Cattaraugus,NY009_78F,78F,289707,9,,,,7E,Mesic,,"""35-50""",HORNELL-HUDSON,Somewhat Poorly Drained to Moderately Well Drained,,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_79B,79B,289708,5,,,,2E,Frigid,,"""03-08""",MONGAUP,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,5,12,2.31,,1.78,39.15
Cattaraugus,NY009_79C,79C,289709,7,,,,3E,Frigid,,"""08-15""",MONGAUP,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,2,10.5,1.6,,1.06,23.35
Cattaraugus,NY009_79D,79D,289710,8,,,,4E,Frigid,,"""15-25""",MONGAUP,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,7.5,0.96,,0.48,10.57
Cattaraugus,NY009_79E,79E,289711,8,,,,6E,Frigid,,"""25-35""",MONGAUP,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_79F,79F,289712,8,,,,6E,Frigid,,"""35-70""",MONGAUP,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_80A,80A,289715,6,,,,3W,Mesic,,"""00-03""",FREMONT,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,4,12.75,1.95,,1.61,35.35
Cattaraugus,NY009_80B,80B,289716,6,,,,3W,Mesic,,"""03-08""",FREMONT,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,4,12.75,1.95,,1.61,35.35
Cattaraugus,NY009_80C,80C,289717,7,,,,3E,Mesic,,"""08-15""",FREMONT,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,2,10.5,1.6,,1.06,23.35
Cattaraugus,NY009_81B,81B,289719,3,,,,2W,Mesic,,"""03-08""",VARYSBURG,Well Drained to Moderately Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,5,16.72,3.685,,2.59,57.12
Cattaraugus,NY009_81C,81C,289720,5,,,,3E,Mesic,,"""08-15""",VARYSBURG,Well Drained to Moderately Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,3,13.5,2.97,,1.85,40.74
Cattaraugus,NY009_81D,81D,289721,6,,,,4E,Mesic,,"""15-25""",VARYSBURG,Well Drained to Moderately Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,1,7.5,1.95,,1.03,22.63
Cattaraugus,NY009_81E,81E,289722,8,,,,6E,Mesic,,"""25-35""",VARYSBURG,Well Drained to Moderately Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_82F,82F,289727,9,,,,7E,Mesic,,"""35-70""",ROCK OUTCROP-MANLIUS,Well Drained to Excessively Well Drained,,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_84B,84B,318212,8,,,,4E,Frigid,,"""03-08""",ELKO,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,5,12,0.72,,0.36,7.93
Cattaraugus,NY009_84C,84C,318213,8,,,,4E,Frigid,,"""08-15""",ELKO,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_85B,85B,289728,4,,,,2E,Frigid,,"""03-08""",ONOVILLE,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,5,13.5,2.68,,2.02,44.49
Cattaraugus,NY009_85C,85C,289729,6,,,,3E,Frigid,,"""08-15""",ONOVILLE,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,12.75,2.275,,1.56,34.39
Cattaraugus,NY009_85D,85D,289730,7,,,,4E,Frigid,,"""15-25""",ONOVILLE,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,1,12,1.92,,1.1,24.32
Cattaraugus,NY009_86B,86B,289731,5,,,,3W,Frigid,,"""03-08""",ELDRED,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,5,12,2.31,,1.78,39.15
Cattaraugus,NY009_86C,86C,289732,7,,,,3E,Frigid,,"""08-15""",ELDRED,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,2,10.5,1.92,,1.19,26.17
Cattaraugus,NY009_86D,86D,289733,8,,,,4E,Frigid,,"""15-25""",ELDRED,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,0,0,0.96,,0.48,10.57
Cattaraugus,NY009_87B,87B,289735,3,,,,2E,Mesic,,"""03-08""",SHONGO,Well Drained,,Silty Loam,,Requires lime additions within every rotation,5,15.2,3.35,,2.36,51.93
Cattaraugus,NY009_87C,87C,289736,5,,,,3E,Mesic,,"""08-15""",SHONGO,Well Drained,,Silty Loam,,Requires lime additions within every rotation,3,12.75,2.64,,1.69,37.2
Cattaraugus,NY009_88A,88A,289737,7,,,,3W,Frigid,,"""00-03""",IVORY,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,2,11.25,1.6,,1.09,24.01
Cattaraugus,NY009_88B,88B,289738,7,,,,3W,Frigid,,"""03-08""",IVORY,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,2,11.25,1.6,,1.09,24.01
Cattaraugus,NY009_88C,88C,289739,8,,,,4E,Frigid,,"""08-15""",IVORY,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,2,7.5,0.96,,0.48,10.57
Cattaraugus,NY009_88D,88D,318164,8,,,,4E,Frigid,,"""15-25""",IVORY,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_89B,89B,289740,7,,,,4W,Mesic,,"""03-08""",PORTVILLE,Poorly Drained,,Silty Clay Loam,,Requires lime additions within every rotation,3,11.25,1.6,,1.24,27.2
Cattaraugus,NY009_89C,89C,289741,8,,,,4W,Mesic,,"""08-15""",PORTVILLE,Poorly Drained,,Silty Clay Loam,,Requires lime additions within every rotation,0,0,1.2,,0.6,13.22
Cattaraugus,NY009_90A,90A,318215,7,,,,3W,Mesic,,"""00-03""",BRINKERTON,Poorly Drained,,Silty Loam,,Requires lime additions within every rotation,3,11.25,1.6,,1.24,27.2
Cattaraugus,NY009_90B,90B,318214,7,,,,3W,Mesic,,"""03-08""",BRINKERTON,Poorly Drained,,Silty Loam,,Requires lime additions within every rotation,3,11.25,1.6,,1.24,27.2
Cattaraugus,NY009_91A,91A,289743,6,Yes,610,"Capability Class,Soil Modifier",3W,Mesic,Drained,"""00-03""",PALMS,Bog,,Muck,,Requires lime additions within every rotation,5,9,1.625,,1.31,28.77
Cattaraugus,NY009_92,92,289744,6,Yes,610,"Capability Class,Soil Modifier",3W,Mesic,Drained,"""00-03""",CARLISLE,Bog,,Muck,,Requires lime additions within every rotation,5,9,1.625,,1.31,28.77
Cattaraugus,NY009_93,93,289745,10,,,,8W,,,,SAPRISTS,,,,,,0,0,0,,0,0
Cattaraugus,NY009_94B,94B,289747,6,,,,3E,Frigid,,"""03-08""",FREWSBURG,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,10.5,1.95,,1.31,28.91
Cattaraugus,NY009_94C,94C,289748,7,,,,4E,Frigid,,"""08-15""",FREWSBURG,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,2,9,1.6,,1,22.03
Cattaraugus,NY009_95B,95B,289749,4,,,,2E,Frigid,,"""03-08""",MANDY,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,5,13.5,2.68,,2.02,44.49
Cattaraugus,NY009_95C,95C,289750,6,,,,3E,Frigid,,"""08-15""",MANDY,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,2,12,1.95,,1.26,27.75
Cattaraugus,NY009_95D,95D,289751,8,,,,6E,Frigid,,"""15-25""",MANDY,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_95E,95E,318177,8,,,,6E,Frigid,,"""25-35""",MANDY,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_95F,95F,318178,8,,,,6E,Frigid,,"""35-50""",MANDY,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_96B,96B,289752,5,,,,2E,Frigid,,"""03-08""",CARROLLTON,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,5,13.5,2.31,,1.93,42.46
Cattaraugus,NY009_96C,96C,289753,6,,,,3E,Frigid,,"""08-15""",CARROLLTON,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,3,11.25,1.95,,1.36,29.9
Cattaraugus,NY009_96D,96D,289754,7,,,,4E,Frigid,,"""15-25""",CARROLLTON,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,9.75,1.6,,0.92,20.15
Cattaraugus,NY009_96E,96E,289755,8,,,,6E,Frigid,,"""25-35""",CARROLLTON,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_96F,96F,289756,9,,,,7E,Frigid,,"""35-50""",CARROLLTON,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_97B,97B,289757,3,,,,2E,Mesic,,"""03-08""",KINZUA,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,5,12.92,2.68,,1.96,43.22
Cattaraugus,NY009_97C,97C,289758,7,,,,4E,Mesic,,"""08-15""",KINZUA,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,3,9.75,1.6,,1.15,25.22
Cattaraugus,NY009_97D,97D,289759,6,,,,4E,Mesic,,"""15-25""",KINZUA,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,7.5,1.3,,0.74,16.19
Cattaraugus,NY009_97E,97E,289760,8,,,,6E,Mesic,,"""25-35""",KINZUA,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_97F,97F,289761,9,,,,7E,Mesic,,"""35-70""",KINZUA,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_98D,98D,289764,9,,,,6S,Mesic,,"""15-25""",KINZUA,Well Drained,Extremely Bouldery,Silty Loam,,Requires lime additions within every rotation,1,7.5,1.24,,0.71,15.59
Cattaraugus,NY009_98E,98E,289765,9,,,,7S,Mesic,,"""25-35""",KINZUA,Well Drained,Extremely Bouldery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_99B,99B,289767,4,,,,2E,Mesic,,"""03-08""",BUCHANAN,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,5,15,2.68,,2.17,47.8
Cattaraugus,NY009_99C,99C,289768,5,,,,3E,Mesic,,"""08-15""",BUCHANAN,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,14.25,2.64,,1.78,39.19
Cattaraugus,NY009_99D,99D,289769,6,,,,4E,Mesic,,"""15-25""",BUCHANAN,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,1,13.5,2.275,,1.29,28.5
Cattaraugus,NY009_100,100,289513,9,,,,NA,,Loamy,,UDORTHENTS,,,,,,0,0,0,,0,0
Cattaraugus,NY009_101,101,289514,9,,,,NA,,Refuse in Substratum,,UDORTHENTS,,,,,,0,0,0,,0,0
Cattaraugus,NY009_102C,102C,318216,8,,,,6E,Frigid,,"""08-15""",MANDY-ROCK OUTCROP,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_103C,103C,318516,8,,,,6E,Mesic,,"""03-15""",KNAPP CREEK-ROCK OUTCR,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_104B,104B,318220,8,,,,NA,Frigid,,"""03-08""",FLATIRON,Well Drained,Extremely Bouldery,Loamy Fine Sand,,Requires lime additions within every rotation,5,0,0,,0,0
Cattaraugus,NY009_104C,104C,318217,8,,,,NA,Frigid,,"""08-15""",FLATIRON,Well Drained,Extremely Bouldery,Loamy Fine Sand,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_104D,104D,318218,8,,,,NA,Frigid,,"""15-25""",FLATIRON,Well Drained,Extremely Bouldery,Loamy Fine Sand,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_104E,104E,318219,8,,,,NA,Frigid,,"""25-35""",FLATIRON,Well Drained,Extremely Bouldery,Loamy Fine Sand,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_108D,108D,318226,7,,,,4E,Mesic,,"""15-25""",HARTLETON,Moderately Well-Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,11.25,1.6,,0.95,20.81
Cattaraugus,NY009_108E,108E,318225,8,,,,6E,Mesic,,"""25-35""",HARTLETON,Moderately Well-Drained,Channery,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_108F,108F,318227,8,,,,6E,Mesic,,"""35-50""",HARTLETON,Moderately Well-Drained,Channery,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_131,131,289525,7,,,,4W,Mesic,,"""00-03""",LAMSON,Poorly Drained to Very Poorly Drained,,Very Fine Sandy Loam,,Requires lime additions within every rotation,3,9.75,1.6,,1.15,25.22
Cattaraugus,NY009_132B,132B,289527,6,,,,3W,Mesic,,"""03-08""",WISCOY,Somewhat Well-Drained,Channery,Silty Loam,,Requires lime additions within every rotation,3,12,1.95,,1.4,30.89
Cattaraugus,NY009_132C,132C,289528,7,,,,3E,Mesic,,"""08-15""",WISCOY,Somewhat Well-Drained,Channery,Silty Loam,,Requires lime additions within every rotation,2,10.5,1.6,,1.06,23.35
Cattaraugus,NY009_135C,135C,289529,6,,,,3E,Mesic,,"""08-15""",HUDSON,Moderately Well Drained to Well Drained,,Silty Loam,,Requires lime additions within every rotation,1,15,2.6,,1.47,32.38
Cattaraugus,NY009_135D,135D,289530,7,,,,4E,Mesic,,"""15-25""",HUDSON,Moderately Well Drained to Well Drained,,Silty Loam,,Requires lime additions within every rotation,1,15,2.56,,1.45,31.98
Cattaraugus,NY009_135E,135E,289531,8,,,,6E,Mesic,,"""25-35""",HUDSON,Moderately Well Drained to Well Drained,,Silty Loam,,Requires lime additions within every rotation,0,0,0.96,,0.48,10.57
Cattaraugus,NY009_140D,140D,289532,6,,,,4E,Mesic,,"""15-25""",DUNKIRK,Well Drained,,Silty Loam,,Requires lime additions within every rotation,1,13.5,2.6,,1.44,31.72
Cattaraugus,NY009_140E,140E,289533,8,,,,6E,Mesic,,"""25-35""",DUNKIRK,Well Drained,,Silty Loam,,Requires lime additions within every rotation,0,0,0.96,,0.48,10.57
Cattaraugus,NY009_185C,185C,289547,8,,,,6E,Frigid,,"""08-15""",ONOVILLE,Moderately Well-Drained,Extremely Bouldery,Silty Loam,,Requires lime additions within every rotation,3,12.75,1.68,,0.84,18.5
Cattaraugus,NY009_185D,185D,289548,8,,,,6E,Frigid,,"""15-25""",ONOVILLE,Moderately Well-Drained,Extremely Bouldery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_187B,187B,318229,8,,,,6E,Mesic,,"""03-08""",SHONGO,Well Drained,Extremely Bouldery,Silty Loam,,Requires lime additions within every rotation,3,9.75,0.96,,0.48,10.57
Cattaraugus,NY009_187C,187C,318228,8,,,,6E,Mesic,,"""08-15""",SHONGO,Well Drained,Extremely Bouldery,Silty Loam,,Requires lime additions within every rotation,3,12.75,0.96,,0.48,10.57
Cattaraugus,NY009_188B,188B,318233,8,,,,3E,Mesic,,"""03-08""",CAVODE,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,5,0,0,,0,0
Cattaraugus,NY009_188C,188C,318234,8,,,,3E,Mesic,,"""08-15""",CAVODE,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_188D,188D,318232,8,,,,3E,Mesic,,"""15-25""",CAVODE,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_189B,189B,318231,8,,,,6E,Mesic,,"""03-08""",PORTVILLE,Poorly Drained,Extremely Bouldery,Silty Clay Loam,,Requires lime additions within every rotation,3,11.25,1.2,,0.6,13.22
Cattaraugus,NY009_189C,189C,318230,8,,,,6E,Mesic,,"""08-15""",PORTVILLE,Poorly Drained,Extremely Bouldery,Silty Clay Loam,,Requires lime additions within every rotation,,0,1.2,,0.6,13.22
Cattaraugus,NY009_195C,195C,289550,8,,,,6E,Frigid,,"""08-15""",MANDY,Well Drained,Extremely Bouldery/Channery,Silty Loam,,Requires lime additions within every rotation,2,12,1.44,,0.72,15.86
Cattaraugus,NY009_195D,195D,289551,8,,,,6E,Frigid,,"""15-25""",MANDY,Well Drained,Extremely Bouldery/Channery,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_195E,195E,289552,9,,,,6E,Frigid,,"""25-35""",MANDY,Well Drained,Extremely Bouldery/Channery,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_199C,199C,289553,8,,,,6E,Mesic,,"""08-15""",BUCHANAN,Moderately Well-Drained,Extremely Bouldery,Silty Loam,,Requires lime additions within every rotation,3,14.25,1.92,,0.96,21.15
Cattaraugus,NY009_199D,199D,289554,8,,,,6E,Mesic,,"""15-25""",BUCHANAN,Moderately Well-Drained,Extremely Bouldery,Silty Loam,,Requires lime additions within every rotation,1,13.5,1.68,,0.84,18.5
Cattaraugus,NY009_289B,289B,318239,4,,,,2E,Frigid,,"""03-08""",CERES,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,5,12.75,3.015,,2.03,44.69
Cattaraugus,NY009_289C,289C,318235,6,,,,3E,Frigid,,"""08-15""",CERES,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,3,11.25,2.275,,1.47,32.41
Cattaraugus,NY009_289D,289D,318237,7,,,,4E,Frigid,,"""15-25""",CERES,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,9,1.92,,1.04,23
Cattaraugus,NY009_289E,289E,318236,8,,,,6E,Frigid,,"""25-35""",CERES,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Cattaraugus,NY009_289F,289F,318238,8,,,,7E,Frigid,,"""35-60""",CERES,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_400,400,318240,5,Yes,567,"Flooding,Capability Class",3W,Mesic,,"""00-03""",WAKEVILLE,Somewhat Well-Drained,,Silty Loam,Rarely,Requires lime additions within every rotation,4,13.5,2.64,,1.87,41.23
Cattaraugus,NY009_496B,496B,289614,4,,,,2E,Mesic,,"""03-08""",GILPIN,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,5,15,2.68,,2.17,47.8
Cattaraugus,NY009_496C,496C,289615,6,,,,3E,Mesic,,"""08-15""",GILPIN,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,3,12.75,2.275,,1.56,34.39
Cattaraugus,NY009_496D,496D,289616,7,,,,4E,Mesic,,"""15-25""",GILPIN,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,11.25,1.92,,1.09,23.99
Cattaraugus,NY009_496E,496E,289617,8,,,,6E,Mesic,,"""25-35""",GILPIN,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_496F,496F,289618,9,,,,6E,Mesic,,"""35-65""",GILPIN,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_497D,497D,289619,6,,,,4E,Mesic,,"""15-25""",RAYNE,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,12.75,2.6,,1.43,31.39
Cattaraugus,NY009_497E,497E,289620,8,,,,6E,Mesic,,"""25-35""",RAYNE,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_497F,497F,289621,9,,,,7E,Mesic,,"""35-50""",RAYNE,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_498E,498E,289622,9,,,,7E,Mesic,,"""25-35""",RAYNE,Well Drained,Extremely Bouldery/Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Cattaraugus,NY009_800,800,289714,5,Yes,567,Flooding,2W,Mesic,Occasionally Flooded,"""00-03""",HOLDERTON,Somewhat Well-Drained,,Silty Loam,Rarely,Requires lime additions within every rotation,4,13.5,2.64,,1.87,41.23
Cattaraugus,NY009_PG,Pg,289770,9,,,,8S,,Gravely,,PITS,,,,,,0,0,0,,0,0
Cattaraugus,NY009_UR,Ur,289771,9,,,,8S,,,,URBAN LAND,,,,,,0,0,0,,0,0
Cayuga,NY011_AC,Ac,289341,8,,,,4W,Mesic,,"""00-03""",ALDEN,Very Poorly Drained,Muck,Silty Loam,,Requires lime additions within every rotation,2,8.25,0.96,,0.48,10.57
Cayuga,NY011_AD,Ad,289342,8,,,,4W,Mesic,Till Substratum,"""00-03""",ALDEN,Very Poorly Drained,Muck,Silty Loam,,Requires lime additions within every rotation,2,8.25,0.96,,0.48,10.57
Cayuga,NY011_AL,Al,289343,9,,,,5W,,,,ALLUVIAL LAND,,,,,,0,0,0,,0,0
Cayuga,NY011_AMA,AmA,289344,3,,,,2S,Mesic,,"""00-03""",ALTON,Well Drained to Excessively Well Drained,Cobbley,,,Requires lime additions within every rotation,7,13.68,3.685,,2.47,54.36
Cayuga,NY011_AMB,AmB,289345,4,,,,2S,Mesic,,"""03-08""",ALTON,Well Drained to Excessively Well Drained,Cobbley,,,Requires lime additions within every rotation,5,13.5,3.685,,2.27,50.03
Cayuga,NY011_ANA,AnA,289346,3,,,,2S,Mesic,,"""00-03""",ALTON,Well Drained to Excessively Well Drained,Gravelly,Sandy Loam,,Requires lime additions within every rotation,7,15.2,3.685,,2.68,59.05
Cayuga,NY011_ANB,AnB,289347,3,,,,2S,Mesic,,"""03-08""",ALTON,Well Drained to Excessively Well Drained,Gravelly,Sandy Loam,,Requires lime additions within every rotation,5,15.2,3.685,,2.44,53.77
Cayuga,NY011_ANC,AnC,289348,5,,,,3E,Mesic,,"""08-15""",ALTON,Well Drained to Excessively Well Drained,Gravelly,Sandy Loam,,Requires lime additions within every rotation,3,13.5,2.97,,1.85,40.74
Cayuga,NY011_AOD,AoD,289349,6,,,,4E,Mesic,,"""15-25""",ALTON-HOWARD,Well Drained to Excessively Well Drained,Gravelly,,,Requires lime additions within every rotation,2,12,2.6,,1.52,33.48
Cayuga,NY011_ARB,ArB,289350,6,,,,3W,Mesic,,"""01-06""",ANGOLA,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,12,1.95,,1.4,30.89
Cayuga,NY011_ARC,ArC,289351,7,,,,3E,Mesic,,"""06-12""",ANGOLA,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,2,11.25,1.92,,1.22,26.83
Cayuga,NY011_ASB,AsB,289352,6,,,,3W,Mesic,,"""00-03""",APPLETON-LYONS,Somewhat Poorly Drained to Poorly Drained,,,,Requires little lime in the crop rotation,2,12,1.95,,1.26,27.75
Cayuga,NY011_ATB,AtB,289353,3,,,,2E,Mesic,,"""01-06""",ARKPORT,Well Drained,,Fine Sandy Loam,,Requires lime additions within every rotation,5,15.96,3.685,,2.52,55.45
Cayuga,NY011_ATC,AtC,289354,4,,,,3E,Mesic,,"""06-12""",ARKPORT,Well Drained,,Fine Sandy Loam,,Requires lime additions within every rotation,4,14.25,3.35,,2.15,47.25
Cayuga,NY011_AUC,AuC,289355,7,,,,4E,Mesic,,"""03-15""",ARNOT,Moderately Well Drained to Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,2,9,1.6,,1,22.03
Cayuga,NY011_AUD,AuD,289356,8,,,,6E,Mesic,,"""15-25""",ARNOT,Moderately Well Drained to Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,7.5,0.96,,0.48,10.57
Cayuga,NY011_AVE,AvE,289357,9,,,,7E,Mesic,,"""25-45""",ARNOT,Moderately Well Drained to Well Drained,,,,Requires lime additions within every rotation,0,0,0,,0,0
Cayuga,NY011_AWB,AwB,289358,4,,,,2E,Mesic,,"""02-06""",AURORA,Moderately Well-Drained,,Silty Loam,,Requires little lime in the crop rotation,5,14.25,3.015,,2.18,47.99
Cayuga,NY011_AWC,AwC,289359,5,,,,3E,Mesic,,"""06-12""",AURORA,Moderately Well-Drained,,Silty Loam,,Requires little lime in the crop rotation,3,13.5,2.64,,1.73,38.19
Cayuga,NY011_AWC3,AwC3,289360,6,,,,3E,Mesic,Eroded,"""06-12""",AURORA,Moderately Well-Drained,,Silty Loam,,Requires little lime in the crop rotation,3,12,2.275,,1.52,33.4
Cayuga,NY011_AWD3,AwD3,289361,8,,,,4E,Mesic,Eroded,"""12-18""",AURORA,Moderately Well-Drained,,Silty Loam,,Requires little lime in the crop rotation,1,12.75,1.2,,0.6,13.22
Cayuga,NY011_AWE,AwE,289362,8,,,,6E,Mesic,,"""18-30""",AURORA,Moderately Well-Drained,,Silty Loam,,Requires little lime in the crop rotation,0,0,1.2,,0.6,13.22
